sku,title,reason
8876,Pre-Owned Rolex Oyster Perpetual 6718,take_down
8877,Pre-Owned Rolex Datejust 1601,take_down
8878,Pre-Owned Rolex Datejust 1601,take_down
8880,Pre-Owned Rolex Oyster Perpetual 67193,take_down
8883,Pre-Owned Rolex Datejust 1601,take_down
8884,ROLEX DATEJUST 1603,take_down
8885,Pre-Owned Rolex Datejust 1601,take_down
8886,Pre-Owned Rolex Datejust 1601,take_down
8890,Pre-Owned Rolex Oyster Precision 6426,take_down
8893,ROLEX DATEJUST 1600,take_down
8904,Pre-Owned Rolex Oyster Precision 6426,take_down
8910,Rolex Oyster Precision 6426,take_down
8911,Pre-Owned Rolex Datejust 1601,take_down
8913,ROLEX OYSTER PRECISION 6426,take_down
8914,Pre-Owned Rolex Precision 6430,take_down
8920,Pre-Owned Rolex Datejust 1601,take_down
8921,Pre-Owned Rolex Datejust 1601,take_down
8932,Pre-Owned Rolex Datejust 16013,take_down
8933,Rolex Datejust 1601,take_down
8937,Pre-Owned Rolex Datejust 1601,take_down
8938,Pre-Owned Rolex Datejust 1625,take_down
8940,Pre-Owned Rolex Datejust 1603,take_down
8942,Pre-Owned Rolex Datejust 16233,take_down
8943,Pre-Owned Rolex Datejust 16014,take_down
8944,Pre-Owned Rolex Datejust 16014,take_down
8945,Pre-Owned Rolex Datejust 16014,take_down
8955,Rolex Datejust 16013,take_down
8956,Pre-Owned Rolex Datejust 16014,take_down
8958,ROLEX DATEJUST 16013,take_down
8963,Pre-Owned Rolex Datejust 1601,take_down
8964,Rolex Datejust 1601,take_down
8970,ROLEX DATEJUST 16014,take_down
8973,ROLEX DATEJUST 16014,take_down
8978,Pre-Owned Rolex Datejust 1601,take_down
8992,Cartier Santos WHSA0027,take_down
8994,Rolex Datejust 126300,take_down
9004,Pre-Owned Rolex Daytona 116505,take_down
9008,Pre-Owned Rolex Datejust 126331,take_down
9077,Pre-Owned Rolex Yacht-Master II 116681,take_down
9081,Pre-Owned Rolex Sky Dweller 326934,take_down
9084,ROLEX OYSTER PERPETUAL DATE 6917,take_down
9087,Pre-Owned Rolex Datejust 68273,take_down
9094,Pre-Owned Rolex Oyster Perpetual 6294,take_down
9095,Pre-Owned Rolex Datejust 6519,take_down
9097,Pre-Owned Rolex Datejust 1601,take_down
9098,Pre-Owned Rolex Datejust 1601,take_down
9100,Pre-Owned Rolex Datejust 1601,take_down
9101,Pre-Owned Rolex Datejust 1601,take_down
9102,Pre-Owned Rolex Datejust 6605,take_down
9103,Pre-Owned Rolex Datejust 1601,take_down
