sku,qty,status,vendor,title,handle,has_ebay,tags
RR2954,1,ARCHIVED,Hermès,Pre-Owned Hermes Stainless Steel Kelly PM Double Tour Gold Tone Blue Women Watch,hermes-stainless-steel-kelly-pm-double-tour-gold-tone-blue-watch-rr2954,False,"Authentic,Estate Jewelry,Hermès,Luxury Jewelry,Pre-Owned,Vintage,Watch"
RR2613,1,ARCHIVED,Hermès,Pre-Owned Hermes Stainless Steel Mother of Pearl Dial Women Watch,hermes-stainless-steel-mother-of-pearl-dial-watch-rr2613,False,"Authentic,Estate Jewelry,Hermès,Luxury Jewelry,Pre-Owned,Vintage,Watch"
10026,1,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Perpetual Date 6827,w-10026,False,"6827,lmny-feed,naked,Oyster Perpetual Date,Pre-Owned Watches,Rolex,Watches"
3119,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6494,w-3119,True,"6494,ebay,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3131,0,ARCHIVED,ROLEX,Pre-Owned Rolex Air-King 5700,w-3131,True,"5700,Air-King,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3180,0,ARCHIVED,ROLEX,Pre-Owned Rolex Day-Date 228348RBR,w-3180,True,"228348RBR,Day-Date,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3194,0,ARCHIVED,ROLEX,Pre-Owned Rolex Submariner Date 126610LN,w-3194,True,"126610LN,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Submariner Date,Watches"
3200,0,ARCHIVED,ROLEX,Pre-Owned Rolex Lady Date Just 6919,w-3200,False,"6919,Lady Date Just,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3201,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Perpetual Lady 6919,w-3201,False,"6919,lmny-feed,naked,Oyster Perpetual Lady,Pre-Owned Watches,Rolex,Watches"
3221,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Precision 6422,w-3221,True,"6422,ebay,lmny-feed,naked,Oyster Precision,Pre-Owned Watches,Rolex,Watches"
3224,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Perpetual 6505,w-3224,True,"6505,ebay,lmny-feed,naked,Oyster Perpetual,Pre-Owned Watches,Rolex,Watches"
