sku,item_ids,titles,urls,count
J10077,366649233308 | 366649318168,Pre-Owned Van Cleef & Arpels 18K Yellow Gold Bouton D'or Medium Model Diamond Di | Pre-Owned Van Cleef & Arpels 18K Yellow Gold Bouton D'or Medium Model Diamond Di,https://www.ebay.com/itm/366649233308 | https://www.ebay.com/itm/366649318168,2
J10267,366649232499 | 366649233279,Pre-Owned Bvlgari Parentesi 18K Yellow Gold BJ 01 H54486 Watch | Pre-Owned Bvlgari Parentesi 18K Yellow Gold Bj 01 H54486 Watch,https://www.ebay.com/itm/366649232499 | https://www.ebay.com/itm/366649233279,2
J10322,366648997025 | 366649233268,Pre-Owned Bvlgari Quadrato Bvlgari Quadrato 22mm Square Dial F1218 SQ 22 2T Watc | Pre-Owned Bvlgari Quadrato Bvlgari Quadrato 22mm Square Dial F1218 Sq 22 2t Watc,https://www.ebay.com/itm/366648997025 | https://www.ebay.com/itm/366649233268,2
J10326,366648997013 | 366649233256,Pre-Owned Bvlgari Serpenti 18K Rose Gold SP P35G Black Dial Diamond Bezel Ladies | Pre-Owned Bvlgari Serpenti 18K Rose Gold Sp P35g Black Dial Diamond Bezel Ladies,https://www.ebay.com/itm/366648997013 | https://www.ebay.com/itm/366649233256,2
J10355,366649020294 | 366649318209,Pre-Owned Van Cleef & Arpels Cadenas 18K Yellow Gold Diamond Five Row Bracelet W | Pre-Owned Van Cleef & Arpels Cadenas 18K Yellow Gold Diamond Five Row Ladies Bra,https://www.ebay.com/itm/366649020294 | https://www.ebay.com/itm/366649318209,2
J10444,366648996894 | 366648997022,Pre-Owned Bvlgari 18K Yellow Gold Tubogas 30mm Dial Watch | Pre-Owned Bvlgari 18K Yellow Gold Tubogas 30mm Dial Watch,https://www.ebay.com/itm/366648996894 | https://www.ebay.com/itm/366648997022,2
J10461,366648996880 | 366649235632,Pre-Owned Cartier Pasha 18K White Gold 32mm Dial Diamond Markers #2398 Watch | Pre-Owned Cartier Pasha 18K White Gold 32mm Dial Diamond Markers #2398 Watch,https://www.ebay.com/itm/366648996880 | https://www.ebay.com/itm/366649235632,2
J10484,366649020284 | 366649089060,Pre-Owned Chopard 18K Yellow Gold Diamond Grid Ref 2044 Manual Wind Onyx Ladies | Pre-Owned Chopard 18K Yellow Gold Diamond Grid Ref 2044 Manual Wind Onyx Ladies,https://www.ebay.com/itm/366649020284 | https://www.ebay.com/itm/366649089060,2
J10487,366648997016 | 366649233221,Pre-Owned Bvlgari 18K Yellow Gold BB 19 2T Quartz Watch | Pre-Owned Bvlgari 18K Yellow Gold Bb 19 2t Quartz Watch,https://www.ebay.com/itm/366648997016 | https://www.ebay.com/itm/366649233221,2
J10492,366649020288 | 366649318148,Pre-Owned Cartier Pasha 18K Yellow Gold 38mm Ref.1989 Leather Accents Watch | Pre-Owned Cartier Pasha 18K Yellow Gold 38mm Ref.1989 Leather Accents Watch,https://www.ebay.com/itm/366649020288 | https://www.ebay.com/itm/366649318148,2
J10493,366649020280 | 366649318157,Pre-Owned Cartier Tank Asymmetric 18K White Gold Diamond Ladies Ref 2786 Watch | Pre-Owned Cartier Tank Asymmetric 18K White Gold Diamond Ladies Ref 2786 Watch,https://www.ebay.com/itm/366649020280 | https://www.ebay.com/itm/366649318157,2
RR4616,366649089030 | 366650107616,Pre-Owned Chopard 18K White Gold Classique Femme Secret Compartment Diamond Wome | Pre-Owned Chopard 18K White Gold Classique Femme Secret Compartment Diamond Wome,https://www.ebay.com/itm/366649089030 | https://www.ebay.com/itm/366650107616,2
RR5576,366649318065 | 366649774697,Pre-Owned Bvlgari Quadrato Tubogas Gold Diamond Dial F078 Flex Women Watch | Pre-Owned Bvlgari Quadrato Tubogas Gold Diamond Dial F078 Flex Women Watch,https://www.ebay.com/itm/366649318065 | https://www.ebay.com/itm/366649774697,2
RR5823,366649317714 | 366653595297,Pre-Owned Van Cleef & Arpels 1940's 18K Yellow Gold Vintage Retro Diamond Wrist | Pre-Owned Van Cleef & Arpels 1940's 18K Yellow Gold Vintage Retro Diamond Wrist,https://www.ebay.com/itm/366649317714 | https://www.ebay.com/itm/366653595297,2
RR7039,366648997006 | 366649774698,Pre-Owned Bvlgari 18K Yellow Gold SQ 22 2T Quadrato Tubogas Diamond Bezel Women | Pre-Owned Bvlgari 18K Yellow Gold Sq 22 2t Quadrato Tubogas Diamond Bezel Women,https://www.ebay.com/itm/366648997006 | https://www.ebay.com/itm/366649774698,2
RR7571,366649317685 | 366649318201,Pre-Owned Van Cleef & Arpels Façade 18K Yellow Gold Vintage Women Watch | Pre-Owned Van Cleef & Arpels Façade 18K Yellow Gold Vintage Women Watch,https://www.ebay.com/itm/366649317685 | https://www.ebay.com/itm/366649318201,2
RR7666,366649317688 | 366649318197,Pre-Owned Van Cleef & Arpels 18K Yellow Gold Diamond Cover Open Link Watch | Pre-Owned Van Cleef & Arpels 18K Yellow Gold Diamond Cover Open Link Watch,https://www.ebay.com/itm/366649317688 | https://www.ebay.com/itm/366649318197,2
RR7980,366649318123 | 366649776143,Pre-Owned Cartier 18K White Gold Santos 100 Unisex White Gold Diamond Unisex Wat | Pre-Owned Cartier 18K White Gold Santos 100 Unisex White Gold Diamond Unisex Wat,https://www.ebay.com/itm/366649318123 | https://www.ebay.com/itm/366649776143,2
RR8379,366649089046 | 366649233396,Pre-Owned Chopard 18K Yellow Gold 1970's Bark Finish Lapis Dial 1970's Wrist Wom | Pre-Owned Chopard 18K Yellow Gold 1970's Bark Finish Lapis Dial 1970's Wrist Wom,https://www.ebay.com/itm/366649089046 | https://www.ebay.com/itm/366649233396,2
RR8601,366649235621 | 366649774663,"Pre-Owned Cartier 18K Yellow Gold Tank Francaise 25,, Ref 1821 Women Diamond Wat | Pre-Owned Cartier 18K Yellow Gold Tank Francaise 25,, Ref 1821 Women Diamond Wat",https://www.ebay.com/itm/366649235621 | https://www.ebay.com/itm/366649774663,2
RR9229,366649317675 | 366649318178,Pre-Owned Van Cleef & Arpels 18K Yellow Gold 32mm Charm Diamond Bezel Alligator | Pre-Owned Van Cleef & Arpels 18K Yellow Gold 32mm Charm Diamond Bezel Alligator,https://www.ebay.com/itm/366649317675 | https://www.ebay.com/itm/366649318178,2
RR9291,366649233342 | 366649318117,Pre-Owned Cartier Trinity 18K Tri Color Trinity Round Dial 27mm 1990's Diamond W | Pre-Owned Cartier Trinity 18K Tri Color Trinity Round Dial 27mm 1990's Diamond W,https://www.ebay.com/itm/366649233342 | https://www.ebay.com/itm/366649318117,2
RR9406,366649020281 | 366649318174,Pre-Owned Van Cleef & Arpels 18K Rose Gold Charms Carnelian Dial 38mm Double Row | Pre-Owned Van Cleef & Arpels 18K Rose Gold Charms Carnelian Dial 38mm Double Row,https://www.ebay.com/itm/366649020281 | https://www.ebay.com/itm/366649318174,2
RR9533,366649020285 | 366649318144,Pre-Owned Cartier 18K White Gold Captive 35mm Diamond Dial Ref 3120 Watch | Pre-Owned Cartier 18K White Gold Captive 35mm Diamond Dial Ref 3120 Watch,https://www.ebay.com/itm/366649020285 | https://www.ebay.com/itm/366649318144,2
RR9688,366649233332 | 366649318250,Pre-Owned Chopard Platinum Deco Diamond And Green Emerald Women Watch | Pre-Owned Chopard Platinum Deco Diamond And Green Emerald Women Watch,https://www.ebay.com/itm/366649233332 | https://www.ebay.com/itm/366649318250,2
RR9917,366649235604 | 366649317665,Pre-Owned Cartier 18K Rose Gold Captive 55mm Diamond Bezel And Diamond Dial Watc | Pre-Owned Cartier 18K Rose Gold Captive 55mm Diamond Bezel And Diamond Dial Watc,https://www.ebay.com/itm/366649235604 | https://www.ebay.com/itm/366649317665,2
