sku,ebay_result,marketplace_connect_result
10005,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
10006,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
10007,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10009,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10011,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10012,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10013,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10026,ended_and_absent_on_final_check,disabled_saved_and_absent_from_fresh_enabled_view
10027,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10028,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10029,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10030,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10031,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10032,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10034,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10036,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10037,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10043,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10044,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10045,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
10047,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
10049,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
10052,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3003,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3013,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3014,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3015,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3087,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3100,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3102,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3103,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3119,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3120,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3121,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3124,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3125,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3126,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3127,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3128,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3129,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3130,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3131,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3132,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3134,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3136,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3146,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3147,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3148,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3149,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3150,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3151,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3152,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3153,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3159,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3160,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3172,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3176,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3179,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3180,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3192,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3193,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3194,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3200,ended_and_absent_on_final_check,disabled_saved_and_absent_from_fresh_enabled_view
3201,ended_and_absent_on_final_check,disabled_saved_and_absent_from_fresh_enabled_view
3204,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3206,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3208,ended_and_absent_on_final_check,disabled_saved_and_absent_from_fresh_enabled_view
3211,ended_and_absent_on_final_check,disabled_saved_and_absent_from_fresh_enabled_view
3212,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3213,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3215,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3216,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3219,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3221,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3224,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3228,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3229,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3232,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3234,absent_before_and_after,not_present_in_fresh_enabled_view_no_disable_action_recorded
3241,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3243,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3245,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
3252,absent_before_and_after,disabled_saved_and_absent_from_fresh_enabled_view
