handle,found,id,title,vendor,product_type,status,sku,qty,has_ebay,ebay_condition,tags
cartier-love-18k-rose-gold-6-diamond-small-model-size-16-bracelet-j10214,true,gid://shopify/Product/7509950431303,Pre-Owned Cartier Love 18K Rose Gold 6 Diamond Small Model Size 16 Bracelet,Cartier,Bracelet,ACTIVE,J10214,1,true,3000,18K Rose Gold|Authentic|Bracelet|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Rose Gold|Round|Vintage
tiffany-co-victoria-platinum-diamond-and-sapphire-pendant-j10398,true,gid://shopify/Product/7509954330695,Pre-Owned Tiffany & Co. Victoria Platinum Diamond And Sapphire Pendant,Tiffany & Co.,Pendant,ACTIVE,J10398,1,true,3000,Authentic|ebay|Estate Jewelry|Luxury Jewelry|Marquise|Pendant|Platinum|Pre-Owned|Tiffany & Co.|Vintage
cartier-18k-tri-color-bullseye-tricolor-pendant-rr9099,true,gid://shopify/Product/7509948891207,Pre-Owned Cartier 18K Tri Color Bullseye Tricolor Pendant,Cartier,Pendant,ACTIVE,RR9099,1,true,3000,18K Rose Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pendant|Pre-Owned|Rose Gold|Vintage
cartier-love-18k-rose-gold-size-18-bracelet-j10230,true,gid://shopify/Product/7509948530759,Pre-Owned Cartier Love 18K Rose Gold Size 18 Bracelet,Cartier,Bracelet,ACTIVE,J10230,1,true,3000,18K Rose Gold|Authentic|Bracelet|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Rose Gold|Vintage
cartier-love-18k-rose-gold-mini-pave-diamond-ring-j10185,true,gid://shopify/Product/7509947383879,Pre-Owned Cartier Love 18K Rose Gold Mini Pave Diamond Ring,Cartier,Ring,ACTIVE,J10185,1,true,3000,18K Rose Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Rose Gold|Round|Vintage
cartier-juste-un-clou-18k-rose-gold-diamond-ring-j10183,true,gid://shopify/Product/7509947252807,Pre-Owned Cartier Juste Un Clou 18K Rose Gold Diamond Ring,Cartier,Ring,ACTIVE,J10183,1,true,3000,18K Rose Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Rose Gold|Vintage
cartier-love-18k-white-gold-mini-diamond-ring-j10180,true,gid://shopify/Product/7509947121735,Pre-Owned Cartier Love 18K White Gold Mini Diamond Ring,Cartier,Ring,ACTIVE,J10180,1,true,3000,18K White Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Round|Vintage|White Gold
cartier-love-18k-white-gold-classic-ring-j10176,true,gid://shopify/Product/7509946925127,Pre-Owned Cartier Love 18K White Gold Classic Ring,Cartier,Ring,ACTIVE,J10176,1,true,3000,18K White Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Vintage|White Gold
cartier-love-18k-yellow-gold-3-diamond-size-54-ring-j10173,true,gid://shopify/Product/7509946761287,"Pre-Owned Cartier Love 18K Yellow Gold 3 Diamond, Size 54 Ring",Cartier,Ring,ACTIVE,J10173,1,true,3000,18K Yellow Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Round|Vintage|Yellow Gold
cartier-juste-un-clou-18k-white-gold-diamond-tip-ring-j10171,true,gid://shopify/Product/7509946630215,Pre-Owned Cartier Juste Un Clou 18K White Gold Diamond Tip Ring,Cartier,Ring,ACTIVE,J10171,1,true,3000,18K White Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Vintage|White Gold
