product_id,csv_handle,sku,vendor,title,keep_handle,action
gid://shopify/Product/7509950431303,cartier-love-18k-rose-gold-6-diamond-small-model-size-16-bracelet-j10214,J10214,Cartier,Pre-Owned Cartier Love 18K Rose Gold 6 Diamond Small Model Size 16 Bracelet,bv-cartier-love-18k-rose-gold-6-diamond-small-model-size-16-bracelet-j10214,remove-ebay-tag
gid://shopify/Product/7509954330695,tiffany-co-victoria-platinum-diamond-and-sapphire-pendant-j10398,J10398,Tiffany & Co.,Pre-Owned Tiffany & Co. Victoria Platinum Diamond And Sapphire Pendant,bv-tiffany-co-victoria-platinum-diamond-and-sapphire-pendant-j10398,remove-ebay-tag
gid://shopify/Product/7509948891207,cartier-18k-tri-color-bullseye-tricolor-pendant-rr9099,RR9099,Cartier,Pre-Owned Cartier 18K Tri Color Bullseye Tricolor Pendant,bv-cartier-18k-tri-color-bullseye-tricolor-pendant-rr9099,remove-ebay-tag
gid://shopify/Product/7509948530759,cartier-love-18k-rose-gold-size-18-bracelet-j10230,J10230,Cartier,Pre-Owned Cartier Love 18K Rose Gold Size 18 Bracelet,bv-cartier-love-18k-rose-gold-size-18-bracelet-j10230,remove-ebay-tag
gid://shopify/Product/7509947383879,cartier-love-18k-rose-gold-mini-pave-diamond-ring-j10185,J10185,Cartier,Pre-Owned Cartier Love 18K Rose Gold Mini Pave Diamond Ring,bv-cartier-love-18k-rose-gold-mini-pave-diamond-ring-j10185,remove-ebay-tag
gid://shopify/Product/7509947252807,cartier-juste-un-clou-18k-rose-gold-diamond-ring-j10183,J10183,Cartier,Pre-Owned Cartier Juste Un Clou 18K Rose Gold Diamond Ring,bv-cartier-juste-un-clou-18k-rose-gold-diamond-ring-j10183,remove-ebay-tag
gid://shopify/Product/7509947121735,cartier-love-18k-white-gold-mini-diamond-ring-j10180,J10180,Cartier,Pre-Owned Cartier Love 18K White Gold Mini Diamond Ring,bv-cartier-love-18k-white-gold-mini-diamond-ring-j10180,remove-ebay-tag
gid://shopify/Product/7509946925127,cartier-love-18k-white-gold-classic-ring-j10176,J10176,Cartier,Pre-Owned Cartier Love 18K White Gold Classic Ring,bv-cartier-love-18k-white-gold-classic-ring-j10176,remove-ebay-tag
gid://shopify/Product/7509946761287,cartier-love-18k-yellow-gold-3-diamond-size-54-ring-j10173,J10173,Cartier,"Pre-Owned Cartier Love 18K Yellow Gold 3 Diamond, Size 54 Ring",bv-cartier-love-18k-yellow-gold-3-diamond-size-54-ring-j10173,remove-ebay-tag
gid://shopify/Product/7509946630215,cartier-juste-un-clou-18k-white-gold-diamond-tip-ring-j10171,J10171,Cartier,Pre-Owned Cartier Juste Un Clou 18K White Gold Diamond Tip Ring,bv-cartier-juste-un-clou-18k-white-gold-diamond-tip-ring-j10171,remove-ebay-tag
gid://shopify/Product/7509946499143,cartier-trinity-18k-tri-color-diamond-pave-ring-j10170,J10170,Cartier,Pre-Owned Cartier Trinity 18K Tri Color Diamond Pave Ring,bv-cartier-trinity-18k-tri-color-diamond-pave-ring-j10170,remove-ebay-tag
