sku,csv_handle,keep_handle,csv_has_ebay,keep_has_ebay,status,errors
J10214,cartier-love-18k-rose-gold-6-diamond-small-model-size-16-bracelet-j10214,bv-cartier-love-18k-rose-gold-6-diamond-small-model-size-16-bracelet-j10214,false,true,OK,
J10398,tiffany-co-victoria-platinum-diamond-and-sapphire-pendant-j10398,bv-tiffany-co-victoria-platinum-diamond-and-sapphire-pendant-j10398,false,true,OK,
RR9099,cartier-18k-tri-color-bullseye-tricolor-pendant-rr9099,bv-cartier-18k-tri-color-bullseye-tricolor-pendant-rr9099,false,true,OK,
J10230,cartier-love-18k-rose-gold-size-18-bracelet-j10230,bv-cartier-love-18k-rose-gold-size-18-bracelet-j10230,false,true,OK,
J10185,cartier-love-18k-rose-gold-mini-pave-diamond-ring-j10185,bv-cartier-love-18k-rose-gold-mini-pave-diamond-ring-j10185,false,true,OK,
J10183,cartier-juste-un-clou-18k-rose-gold-diamond-ring-j10183,bv-cartier-juste-un-clou-18k-rose-gold-diamond-ring-j10183,false,true,OK,
J10180,cartier-love-18k-white-gold-mini-diamond-ring-j10180,bv-cartier-love-18k-white-gold-mini-diamond-ring-j10180,false,true,OK,
J10176,cartier-love-18k-white-gold-classic-ring-j10176,bv-cartier-love-18k-white-gold-classic-ring-j10176,false,true,OK,
J10173,cartier-love-18k-yellow-gold-3-diamond-size-54-ring-j10173,bv-cartier-love-18k-yellow-gold-3-diamond-size-54-ring-j10173,false,true,OK,
J10171,cartier-juste-un-clou-18k-white-gold-diamond-tip-ring-j10171,bv-cartier-juste-un-clou-18k-white-gold-diamond-tip-ring-j10171,false,true,OK,
J10170,cartier-trinity-18k-tri-color-diamond-pave-ring-j10170,bv-cartier-trinity-18k-tri-color-diamond-pave-ring-j10170,false,true,OK,
J10168,cartier-love-18k-white-gold-3-diamond-ring-j10168,bv-cartier-love-18k-white-gold-3-diamond-ring-j10168,false,true,OK,
J10208,cartier-love-18k-rose-gold-bangle-size-17-bracelet-j10208,bv-cartier-love-18k-rose-gold-bangle-size-17-bracelet-j10208,false,true,OK,
RR9205,cartier-love-18k-white-gold-love-size-18-bracelet-rr9205,bv-cartier-love-18k-white-gold-love-size-18-bracelet-rr9205,false,true,OK,
RR9853,cartier-18k-white-gold-pave-diamond-heart-necklace-rr9853,bv-cartier-18k-white-gold-pave-diamond-heart-necklace-rr9853,false,true,OK,
J10036,chopard-18k-yellow-gold-happy-diamond-round-1-20cttw-stud-earrings-j10036,bv-chopard-18k-yellow-gold-happy-diamond-round-1-20cttw-stud-earrings-j10036,false,true,OK,
RR9687,cartier-18k-white-gold-love-black-ceramic-eu-49-ring-rr9687,bv-cartier-18k-white-gold-love-black-ceramic-eu-49-ring-rr9687,false,true,OK,
RR9202,tiffany-co-legacy-platinum-1-50cttw-round-diamond-ring-rr9202,bv-tiffany-co-legacy-platinum-1-50cttw-round-diamond-ring-rr9202,false,true,OK,
RR9527,cartier-14k-yellow-gold-1881-coin-e-pluribus-money-clip-rr9527,bv-cartier-14k-yellow-gold-1881-coin-e-pluribus-money-clip-rr9527,false,true,OK,
RR9408,cartier-18k-yellow-gold-barbell-cuff-links-rr9408,bv-cartier-18k-yellow-gold-barbell-cuff-links-rr9408,false,true,OK,
RR7975,tiffany-co-18k-white-gold-diamond-petals-key-pendant-rr7975,bv-tiffany-co-18k-white-gold-diamond-petals-key-pendant-rr7975,false,true,OK,
RR9182,hermes-5-leather-bracelets-rr9182,bv-hermes-5-leather-bracelets-rr9182,false,true,OK,
RR8985,cartier-18k-white-gold-panthere-maillon-ring-rr8985,bv-cartier-18k-white-gold-panthere-maillon-ring-rr8985,false,true,OK,
RR8911,cartier-18k-white-gold-diamant-leger-de-diamond-cluster-ring-rr8911,bv-cartier-18k-white-gold-diamant-leger-de-diamond-cluster-ring-rr8911,false,true,OK,
RR8753,cartier-18k-white-gold-cartier-inde-mysterieuse-diamond-ring-rr8753,bv-cartier-18k-white-gold-cartier-inde-mysterieuse-diamond-ring-rr8753,false,true,OK,
RR8417,tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417,bv-tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417,false,true,OK,
RR8020,bvlgari-18k-white-gold-parentesi-gemstone-and-diamond-chain-bracelet-rr8020,bv-bvlgari-18k-white-gold-parentesi-gemstone-and-diamond-chain-bracelet-rr8020,false,true,OK,
RR7989,bvlgari-18k-white-gold-mother-of-pearl-illusion-diamond-cocktail-ring-rr7989,bv-bvlgari-18k-white-gold-mother-of-pearl-illusion-diamond-cocktail-ring-rr7989,false,true,OK,
RR7494,chopard-18k-white-gold-good-fortune-diamond-round-pendant-rr7494,bv-chopard-18k-white-gold-good-fortune-diamond-round-pendant-rr7494,false,true,OK,
RR7462,chopard-18k-yellow-gold-pave-heart-shape-floating-diamond-ring-rr7462,bv-chopard-18k-yellow-gold-pave-heart-shape-floating-diamond-ring-rr7462,false,true,OK,
RR4065,cartier-art-deco-18k-yellow-gold-lipstick-gold-black-enamel-jewelry-rr4065,bv-cartier-art-deco-18k-yellow-gold-lipstick-gold-black-enamel-jewelry-rr4065,false,true,OK,
RR5796,tiffany-co-schlumberger-platinum-18k-yellow-gold-blue-enamel-cuff-links-rr5796,bv-tiffany-co-schlumberger-platinum-18k-yellow-gold-blue-enamel-cuff-links-rr5796,false,true,OK,
RR5591,tiffany-co-schlumberger-18k-yellow-gold-blue-enamel-heart-motif-earrings-rr5591,bv-tiffany-co-schlumberger-18k-yellow-gold-blue-enamel-heart-motif-earrings-rr5591,false,true,OK,
