handle,sku,vendor,title,status,product_type,has_ebay,reason
bv-cartier-dolphin-18k-yellow-gold-double-dolphin-diamond-ring-j10605,J10605,Cartier,Cartier Dolphin 18K Yellow Gold Double Dolphin Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-cartier-diamond-elephant-18k-white-gold-walking-elephant-shirt-studs-and-cuff-links-j10604,J10604,Cartier,Cartier Diamond Elephant 18K White Gold Walking Elephant Shirt Studs And Cuff Links,ACTIVE,Cufflinks,true,already-tagged-and-conditioned
bv-cartier-trinity-18k-tri-color-roller-bracelet-j10233,J10233,Cartier,Cartier Trinity 18K Tri Color Roller Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-buccellati-18k-two-tone-capri-macri-7-sapphire-bangle-bracelet-j10536,J10536,Buccellati,Buccellati 18K Two Tone Capri Macri 7 Sapphire Bangle Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-buccellati-18k-two-tone-macri-capri-7-round-green-emerald-bangle-bracelet-j10535,J10535,Buccellati,Buccellati 18K Two Tone Macri Capri 7 Round Green Emerald Bangle Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-black-enamel-open-link-bracelet-j10533,J10533,David Webb,David Webb 18K Yellow Gold Black Enamel Open Link Bracelet,ARCHIVED,Bracelets,false,status:ARCHIVED
bv-cartier-maillon-18k-yellow-gold-three-row-necklace-j10531,J10531,Cartier,Cartier Maillon 18K Yellow Gold Three Row Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-van-cleef-arpels-18k-yellow-gold-36-inches-georges-lenfant-chain-j10522,J10522,Van Cleef & Arpels,Van Cleef & Arpels 18K Yellow Gold 36 Inches Georges L'enfant Chain,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-hermes-18k-yellow-gold-link-chain-necklace-j10508,J10508,Hermès,Hermès 18K Yellow Gold Link Chain Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-van-cleef-arpels-alhambra-18k-yellow-gold-magic-bracelet-j10526,J10526,Van Cleef & Arpels,Van Cleef & Arpels Alhambra 18K Yellow Gold Magic Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-leopard-emerald-eyes-with-box-cuff-links-j10525,J10525,David Webb,David Webb 18K Yellow Gold Leopard Emerald Eyes With Box Cuff Links,ACTIVE,Cufflinks,true,already-tagged-and-conditioned
bv-bvlgari-serpenti-18k-yellow-gold-blackened-steel-circa-1965-jaeger-lecoultre-manual-watch-j10515,J10515,Bvlgari,Pre-Owned Bvlgari Serpenti 18K Yellow Gold Blackened Steel Circa 1965 Jaeger Lecoultre Manual Watch,ACTIVE,Watch,true,watch
bv-david-webb-platinum-18k-yellow-gold-necklace-rr7432,RR7432,David Webb,David Webb Platinum & 18K Yellow Gold Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-bvlgari-parentesi-18k-yellow-gold-hematite-bangle-bracelet-j10512,J10512,Bvlgari,Bvlgari Parentesi 18K Yellow Gold Hematite Bangle Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-bvlgari-parentesi-18k-yellow-gold-hoop-earrings-j10511,J10511,Bvlgari,Bvlgari Parentesi 18K Yellow Gold Hoop Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-cartier-rouleaux-18k-white-gold-onyx-ruby-and-diamond-ring-j10510,J10510,Cartier,"Cartier Rouleaux 18K White Gold Onyx, Ruby And Diamond Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-van-cleef-arpels-18k-rose-gold-charms-carnelian-dial-38mm-double-row-diamond-bezel-watch-rr9406,RR9406,Van Cleef & Arpels,Pre-Owned Van Cleef & Arpels 18K Rose Gold Charms Carnelian Dial 38mm Double Row Diamond Bezel Watch,ACTIVE,Watch,true,watch
bv-cartier-tank-asymmetric-18k-white-gold-diamond-ladies-ref-2786-watch-j10493,J10493,Cartier,Pre-Owned Cartier Tank Asymmetric 18K White Gold Diamond Ladies Ref 2786 Watch,ARCHIVED,Watch,false,watch
bv-chopard-18k-yellow-gold-diamond-grid-ref-2044-manual-wind-onyx-ladies-watch-j10484,J10484,Chopard,Pre-Owned Chopard 18K Yellow Gold Diamond Grid Ref 2044 Manual Wind Onyx Ladies Watch,ACTIVE,Watch,true,watch
bv-van-cleef-arpels-alhambra-18k-white-gold-diamond-magic-alhambra-16-motifs-necklace-j10316,J10316,Van Cleef & Arpels,Van Cleef & Arpels Alhambra 18K White Gold Diamond Magic Alhambra 16 Motifs Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-black-enamel-large-link-gold-stations-necklace-j10507,J10507,David Webb,David Webb 18K Yellow Gold Black Enamel Large Link Gold Stations Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-cartier-18k-white-gold-diamond-c-ring-j10506,J10506,Cartier,"Cartier 18K White Gold Diamond ""c"" Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-van-cleef-arpels-aries-18k-rose-gold-medallion-on-a-34-inch-chain-pendant-j10505,J10505,Van Cleef & Arpels,Van Cleef & Arpels Aries 18K Rose Gold Medallion On A 34 Inch Chain Pendant,ACTIVE,Pendants,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-lapis-and-carved-coral-hammered-finish-earrings-j10503,J10503,David Webb,David Webb 18K Yellow Gold Lapis And Carved Coral Scroll Disc Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-graff-18k-white-gold-butterfly-green-emerald-limited-edition-32mm-dial-watch-j10501,J10501,Graff,Pre-Owned Graff 18K White Gold Butterfly Green Emerald Limited Edition 32mm Dial Watch,ACTIVE,Watch,true,watch
bv-david-webb-18k-yellow-gold-scroll-crossover-fluted-bracelet-j10478,J10478,David Webb,David Webb 18K Yellow Gold Scroll Crossover Fluted Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-frog-with-ruby-eyes-brooch-j10470,J10470,David Webb,David Webb 18K Yellow Gold Frog With Ruby Eyes Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-ilias-lalaounis-vintage-18k-yellow-gold-double-ram-ruby-bracelet-j10469,J10469,Ilias Lalaounis,Ilias Lalaounis Vintage 18K Yellow Gold Double Ram Ruby Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-tiffany-co-18k-white-gold-t-collection-bangle-bracelet-j10468,J10468,Tiffany & Co.,"Tiffany & Co. 18K White Gold ""t"" Collection Bangle Bracelet",ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-cartier-18k-yellow-gold-classic-dome-eu-61-wedding-band-j10467,J10467,Cartier,Cartier 18K Yellow Gold Classic Dome Eu 61 Wedding Band,ACTIVE,Rings,true,already-tagged-and-conditioned
