id,handle,title,vendor,product_type,status,sku,qty,price,published,image_count,has_ebay_tag,has_backvault,has_lab_grown,ebay_condition,condition,tags
gid://shopify/Product/7633225580615,bv-cartier-dolphin-18k-yellow-gold-double-dolphin-diamond-ring-j10605,Cartier Dolphin 18K Yellow Gold Double Dolphin Diamond Ring,Cartier,Rings,ACTIVE,J10605,1,68100.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Rings
gid://shopify/Product/7633225613383,bv-cartier-diamond-elephant-18k-white-gold-walking-elephant-shirt-studs-and-cuff-links-j10604,Cartier Diamond Elephant 18K White Gold Walking Elephant Shirt Studs And Cuff Links,Cartier,Cufflinks,ACTIVE,J10604,1,27100.00,true,8,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|Cartier|Cufflinks|designer-jewelry|ebay
gid://shopify/Product/7633225646151,bv-cartier-trinity-18k-tri-color-roller-bracelet-j10233,Cartier Trinity 18K Tri Color Roller Bracelet,Cartier,Bracelets,ACTIVE,J10233,1,29900.00,true,3,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|Cartier|designer-jewelry|ebay
gid://shopify/Product/7633225678919,bv-buccellati-18k-two-tone-capri-macri-7-sapphire-bangle-bracelet-j10536,Buccellati 18K Two Tone Capri Macri 7 Sapphire Bangle Bracelet,Buccellati,Bracelets,ACTIVE,J10536,1,27800.00,true,8,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|Buccellati|designer-jewelry|ebay
gid://shopify/Product/7633225744455,bv-buccellati-18k-two-tone-macri-capri-7-round-green-emerald-bangle-bracelet-j10535,Buccellati 18K Two Tone Macri Capri 7 Round Green Emerald Bangle Bracelet,Buccellati,Bracelets,ACTIVE,J10535,1,27800.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|Buccellati|designer-jewelry|ebay
gid://shopify/Product/7633225777223,bv-david-webb-18k-yellow-gold-black-enamel-open-link-bracelet-j10533,David Webb 18K Yellow Gold Black Enamel Open Link Bracelet,David Webb,Bracelets,ARCHIVED,J10533,0,36400.00,false,7,false,true,false,,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|David Webb|designer-jewelry
gid://shopify/Product/7633225809991,bv-cartier-maillon-18k-yellow-gold-three-row-necklace-j10531,Cartier Maillon 18K Yellow Gold Three Row Necklace,Cartier,Necklaces,ACTIVE,J10531,1,36900.00,true,8,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633225842759,bv-van-cleef-arpels-18k-yellow-gold-36-inches-georges-lenfant-chain-j10522,Van Cleef & Arpels 18K Yellow Gold 36 Inches Georges L'enfant Chain,Van Cleef & Arpels,Necklaces,ACTIVE,J10522,1,42100.00,true,8,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|ebay|Necklaces|Van Cleef & Arpels|Vintage
gid://shopify/Product/7633225875527,bv-hermes-18k-yellow-gold-link-chain-necklace-j10508,Hermès 18K Yellow Gold Link Chain Necklace,Hermès,Necklaces,ACTIVE,J10508,1,130500.00,true,8,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|designer-jewelry|ebay|Hermès|Necklaces
gid://shopify/Product/7633225908295,bv-van-cleef-arpels-alhambra-18k-yellow-gold-magic-bracelet-j10526,Van Cleef & Arpels Alhambra 18K Yellow Gold Magic Bracelet,Van Cleef & Arpels,Bracelets,ACTIVE,J10526,1,10900.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|designer-jewelry|ebay|Van Cleef & Arpels
gid://shopify/Product/7633225973831,bv-david-webb-18k-yellow-gold-leopard-emerald-eyes-with-box-cuff-links-j10525,David Webb 18K Yellow Gold Leopard Emerald Eyes With Box Cuff Links,David Webb,Cufflinks,ACTIVE,J10525,1,10200.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cufflinks|David Webb|designer-jewelry|ebay
gid://shopify/Product/7633226006599,bv-bvlgari-serpenti-18k-yellow-gold-blackened-steel-circa-1965-jaeger-lecoultre-manual-watch-j10515,Pre-Owned Bvlgari Serpenti 18K Yellow Gold Blackened Steel Circa 1965 Jaeger Lecoultre Manual Watch,Bvlgari,Watch,ACTIVE,J10515,1,48600.00,true,8,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|Bvlgari|Circa 1965|designer-jewelry|ebay|Pre-Owned Watches|Watch|Watches
gid://shopify/Product/7633226072135,bv-david-webb-platinum-18k-yellow-gold-necklace-rr7432,David Webb Platinum & 18K Yellow Gold Necklace,David Webb,Necklaces,ACTIVE,RR7432,1,124000.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633226104903,bv-bvlgari-parentesi-18k-yellow-gold-hematite-bangle-bracelet-j10512,Bvlgari Parentesi 18K Yellow Gold Hematite Bangle Bracelet,Bvlgari,Bracelets,ACTIVE,J10512,1,19300.00,true,6,true,true,false,3000,Very Good pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|Bvlgari|designer-jewelry|ebay
gid://shopify/Product/7633226170439,bv-bvlgari-parentesi-18k-yellow-gold-hoop-earrings-j10511,Bvlgari Parentesi 18K Yellow Gold Hoop Earrings,Bvlgari,Earrings,ACTIVE,J10511,1,11500.00,true,7,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|Bvlgari|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633226235975,bv-cartier-rouleaux-18k-white-gold-onyx-ruby-and-diamond-ring-j10510,"Cartier Rouleaux 18K White Gold Onyx, Ruby And Diamond Ring",Cartier,Rings,ACTIVE,J10510,1,35600.00,true,10,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Rings
gid://shopify/Product/7633226268743,bv-van-cleef-arpels-18k-rose-gold-charms-carnelian-dial-38mm-double-row-diamond-bezel-watch-rr9406,Pre-Owned Van Cleef & Arpels 18K Rose Gold Charms Carnelian Dial 38mm Double Row Diamond Bezel Watch,Van Cleef & Arpels,Watch,ACTIVE,RR9406,1,31000.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|ebay|Pre-Owned Watches|Van Cleef & Arpels|Watch|Watches
gid://shopify/Product/7633226301511,bv-cartier-tank-asymmetric-18k-white-gold-diamond-ladies-ref-2786-watch-j10493,Pre-Owned Cartier Tank Asymmetric 18K White Gold Diamond Ladies Ref 2786 Watch,Cartier,Watch,ARCHIVED,J10493,0,22100.00,false,7,false,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|Pre-Owned Watches|Watch|Watches
gid://shopify/Product/7633226367047,bv-chopard-18k-yellow-gold-diamond-grid-ref-2044-manual-wind-onyx-ladies-watch-j10484,Pre-Owned Chopard 18K Yellow Gold Diamond Grid Ref 2044 Manual Wind Onyx Ladies Watch,Chopard,Watch,ACTIVE,J10484,1,23200.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Chopard|designer-jewelry|ebay|Pre-Owned Watches|Vintage|Watch|Watches
gid://shopify/Product/7633226399815,bv-van-cleef-arpels-alhambra-18k-white-gold-diamond-magic-alhambra-16-motifs-necklace-j10316,Van Cleef & Arpels Alhambra 18K White Gold Diamond Magic Alhambra 16 Motifs Necklace,Van Cleef & Arpels,Necklaces,ACTIVE,J10316,1,188500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|ebay|Necklaces|Van Cleef & Arpels
gid://shopify/Product/7633226465351,bv-david-webb-18k-yellow-gold-black-enamel-large-link-gold-stations-necklace-j10507,David Webb 18K Yellow Gold Black Enamel Large Link Gold Stations Necklace,David Webb,Necklaces,ACTIVE,J10507,1,85000.00,true,10,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Necklaces|Vintage
gid://shopify/Product/7633226498119,bv-cartier-18k-white-gold-diamond-c-ring-j10506,"Cartier 18K White Gold Diamond ""c"" Ring",Cartier,Rings,ACTIVE,J10506,1,14100.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|Contemporary|designer-jewelry|ebay|Rings
gid://shopify/Product/7633226530887,bv-van-cleef-arpels-aries-18k-rose-gold-medallion-on-a-34-inch-chain-pendant-j10505,Van Cleef & Arpels Aries 18K Rose Gold Medallion On A 34 Inch Chain Pendant,Van Cleef & Arpels,Pendants,ACTIVE,J10505,1,27800.00,true,10,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|designer-jewelry|ebay|Pendants|Van Cleef & Arpels
gid://shopify/Product/7633226563655,bv-david-webb-18k-yellow-gold-lapis-and-carved-coral-hammered-finish-earrings-j10503,David Webb 18K Yellow Gold Lapis And Carved Coral Scroll Disc Earrings,David Webb,Earrings,ACTIVE,J10503,1,48600.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633226629191,bv-graff-18k-white-gold-butterfly-green-emerald-limited-edition-32mm-dial-watch-j10501,Pre-Owned Graff 18K White Gold Butterfly Green Emerald Limited Edition 32mm Dial Watch,Graff,Watch,ACTIVE,J10501,1,111000.00,true,9,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|ebay|Graff|Pre-Owned Watches|Watch|Watches
gid://shopify/Product/7633226661959,bv-david-webb-18k-yellow-gold-scroll-crossover-fluted-bracelet-j10478,David Webb 18K Yellow Gold Scroll Crossover Fluted Bracelet,David Webb,Bracelets,ACTIVE,J10478,1,29200.00,true,7,true,true,false,3000,Very Good pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|David Webb|designer-jewelry|ebay
gid://shopify/Product/7633226760263,bv-david-webb-18k-yellow-gold-frog-with-ruby-eyes-brooch-j10470,David Webb 18K Yellow Gold Frog With Ruby Eyes Brooch,David Webb,Brooches,ACTIVE,J10470,1,16100.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Brooches|David Webb|designer-jewelry|ebay
gid://shopify/Product/7633226793031,bv-ilias-lalaounis-vintage-18k-yellow-gold-double-ram-ruby-bracelet-j10469,Ilias Lalaounis Vintage 18K Yellow Gold Double Ram Ruby Bracelet,Ilias Lalaounis,Bracelets,ACTIVE,J10469,1,16700.00,true,8,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|designer-jewelry|ebay|Ilias Lalaounis|Vintage
gid://shopify/Product/7633226825799,bv-tiffany-co-18k-white-gold-t-collection-bangle-bracelet-j10468,"Tiffany & Co. 18K White Gold ""t"" Collection Bangle Bracelet",Tiffany & Co.,Bracelets,ACTIVE,J10468,1,2700.00,true,7,true,true,false,3000,Very Good pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|designer-jewelry|ebay|Tiffany & Co.
gid://shopify/Product/7633226891335,bv-cartier-18k-yellow-gold-classic-dome-eu-61-wedding-band-j10467,Cartier 18K Yellow Gold Classic Dome Eu 61 Wedding Band,Cartier,Rings,ACTIVE,J10467,1,1800.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Rings
gid://shopify/Product/7633226924103,bv-david-webb-vintage-18k-yellow-gold-purple-chalcedony-carved-beads-rock-crystal-necklace-j10465,David Webb Vintage 18K Yellow Gold Purple Chalcedony Carved Beads Rock Crystal Necklace,David Webb,Necklaces,ACTIVE,J10465,1,52500.00,true,5,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Necklaces|Vintage
