item_id,sku
366655806438,3687
366650116098,RW3101
366650116109,RW3105
366650107494,RW3076
366649020299,RW3054
366650116219,6190
365546985797,21
366650116073,RW3098
366650116029,RW3084
366650115982,RW3066
366649020283,R3017
366655747698,8701
366655747751,8913
366655807003,9084
366655806987,8852
366650116118,RW3107
366650116037,RW3085
366655791786,3492
366655806436,3704
366655791675,3705
366655806972,8841
366655747732,8884
366655806996,8859
366655747743,8893
366650115994,RW3082
366650116008,RW3083
366655894070,R3006
366649775474,RW3060
366655791770,R3015
366649020636,J10408
366649318201,RR7571
366649317685,RR7571
366649318209,J10355
366649020294,J10355
366653595297,RR5823
366649318204,van-cleef-arpels-1940s-18k-yellow-gold-vintage-ret
366649317714,RR5823
366649318197,RR7666
366649317688,RR7666
366649318168,J10077
366649233308,J10077
366649318178,RR9229
366649317675,RR9229
366649318174,RR9406
366649020281,RR9406
366655878115,RW3063
366656769002,3850
366650116122,RW3106
366650116054,RW3097
366650116087,RW3100
366653596686,3863
366649318555,3810
366648998396,RW3036
366650116047,RW3094
366649020295,RW3056
366656087571,4134
366655806440,3709
366650116100,RW3103
366650116055,RW3092
366650116140,RW3095
366650116126,3972
366649775410,R3014
366649089304,RW3039
366661883101,4152
366649775730,RW3073
366649775509,RW3065
366661908481,U1187
366655747762,9197
366655806016,3208
366655747715,8831
366655806976,3201
366655806812,10026
366655747757,9196
366655807022,9209
366655747728,8876
366650158493,4159
366655791728,
366650116038,RW3087
366655806308,4178
366655806979,3200
366655807010,9186
366655791571,3211
366649317343,3721
366648998544,RW3067
366655894088,RW3071
366655806263,3528
366657008393,U1158
366659407867,RW3064
366655806437,3655
366650116103,RW3102
366651077522,8500
366650116085,RW3099
366655806315,3715
366655747227,3713
366655791878,9189
366655806998,9102
366655747740,8911
366655747729,8883
366655791851,4166
366655747564,4082
366650116144,RW3096
366650116104,RW3104
366653595478,RW3047
366650116152,RW3086
366650116040,RW3088
366649020289,RW3043
366655894083,RW3069
366655791661,3677
366653595490,RW3062
366649318181,RW3041
366649020287,RW3046
366650107489,RW3059
366650761236,3371
366650761234,3370
366655747693,6162
366655806298,RR2613
366655791848,RR2954
366649233365,RR9026
366648996865,J10501
366649318250,RR9688
366649233332,RR9688
366649089060,J10484
366649020284,J10484
366649233396,RR8379
366649089046,RR8379
366650107616,RR4616
366649089030,RR4616
366649317673,RR9295
366650115881,RR4018
366649318117,RR9291
366649233342,RR9291
366649318157,J10493
366649020280,J10493
366649318128,RR2128
366649318148,J10492
366649020288,J10492
366649235632,J10461
366648996880,J10461
366649232514,RR9758
366649774663,RR8601
366649235621,RR8601
366649776143,RR7980
366649318123,RR7980
366649318144,RR9533
366649020285,RR9533
366649317665,RR9917
366649235604,RR9917
366648996840,J10515
366649020577,J10259
366649233256,J10326
366648997013,J10326
366649774697,RR5576
366649318065,RR5576
366649233268,J10322
366648997025,J10322
366649233279,J10267
366649232499,J10267
366649317560,J10321
366648997022,J10444
366648996894,J10444
366649774698,RR7039
366648997006,RR7039
366649233221,J10487
366648997016,J10487
366649232435,RR9952
366648996965,J10141
366649020578,RR8272
366651077339,
366650564934,
366650784395,
366650073839,
366650073872,
366650784419,
366650116192,
366650116201,
366650116200,
366650116194,
366650116184,
366650116171,
366650116214,
366650116195,15
365546985845,
