sku,source,batch,priorListStatus,desiredShopifyARCHIVED,desiredMarketplaceDisabled
T3505,TLV WATCHES LLC,current_branch_snapshot,end_list,ARCHIVED,DISABLED
T3489,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3708,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3691,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3659,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3713,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3760,TLV WATCHES LLC,current_branch_snapshot,neither,ARCHIVED,DISABLED
T3748,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3732,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3718,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3669,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3709,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3757,TLV WATCHES LLC,current_branch_snapshot,neither,ARCHIVED,DISABLED
T3735,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3595,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3753,TLV WATCHES LLC,current_branch_snapshot,neither,ARCHIVED,DISABLED
T3688,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3734,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3740,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3741,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3652,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3673,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3712,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3431,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3653,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3693,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
T3492,TLV WATCHES LLC,current_branch_snapshot,keeper_override,ARCHIVED,DISABLED
