sku,handle,title,old_price,new_price
3846,w-3846,Pre-Owned Rolex Submariner Date 126613LB,18355.00,19100.00
3921,w-3921,Pre-Owned Rolex Day-Date II 218239,41631.00,42600.00
8859,w-8859,ROLEX DATEJUST 1601,4364.00,5500.00
P5316,w-p5316,ROLEX DATEJUST 126334,15520.00,16800.00
P5333,w-p5333,ROLEX DATEJUST 126334,15520.00,16600.00
P5345,w-p5345,ROLEX GMT MASTER II 126715CHNR,43577.00,44300.00
U9185,w-u9185,ROLEX LADY DATE JUST 6917,3034.00,3700.00
T3579,w-t3579,Pre-Owned Rolex Submariner Date 126613LB,18355.00,19500.00
3969,w-3969,Pre-Owned Rolex Oyster Perpetual 69178,11584.00,13800.00
P5344,w-p5344,PATEK PHILIPPE AQUANAUT 5269R-001,72382.00,74100.00
3121,w-3121,Pre-Owned Rolex Oyster Precision 6427,3880.00,5600.00
3125,w-3125,Pre-Owned Rolex Oysterdate 6694,3104.00,5600.00
3484,w-3484,ROLEX DATEJUST 278384RBR,22092.00,26900.00
3492,w-3492,ROLEX GMT MASTER II 116710LN,13094.00,17900.00
3677,w-3677,Pre-Owned Rolex Datejust 126331,16199.00,26400.00
3705,w-3705,ROLEX EXPLORER II 226570,12064.00,17400.00
3713,w-3713,Pre-Owned Rolex Day-Date 228238,48475.00,57800.00
3739,w-3739,Pre-Owned Rolex Yachtmaster 16622,9205.00,14400.00
3890,w-3890,Pre-Owned Rolex Datejust 126331,16199.00,20800.00
3953,w-3953,Unworn Rolex Datejust 126334,15520.00,20200.00
4082,w-4082,Pre-Owned Rolex Datejust 126334,16005.00,20200.00
6162,w-6162,Pre-Owned Patek Philippe Aquanaut 5167/1A,76860.00,97200.00
6188,w-6188,Unworn Patek Philippe Calatrava 6119R-001,35767.00,39200.00
8784,w-8784,ROLEX DATEJUST 16220,5990.00,7500.00
8958,w-8958,ROLEX DATEJUST 16013,5528.00,8200.00
8970,w-8970,ROLEX DATEJUST 16014,5140.00,6500.00
9100,w-9100,Pre-Owned Rolex Datejust 1601,4617.00,6400.00
9188,w-9188,Pre-Owned Rolex Oyster Perpetual Date 1500,3676.00,5000.00
9196,w-9196,Pre-Owned Rolex Oyster Perpetual Date 1500,3676.00,4700.00
9197,w-9197,Pre-Owned Rolex Precision 6694,3104.00,4300.00
9460,w-9460,ROLEX DATEJUST II 116333,12499.00,16200.00
9461,w-9461,Pre-Owned Rolex Datejust II 116333,12361.00,18000.00
9852,w-9852,Pre-Owned Rolex Day-Date 18248,19880.00,23600.00
P3554,w-p3554,ROLEX DATEJUST 126334,15520.00,17400.00
P5203,w-p5203,Pre-Owned Audemars Piguet Royal Oak 56175SP,22305.00,25200.00
P5334,w-p5334,PATEK PHILIPPE AQUANAUT 5167A-001,77595.00,92900.00
P5360,w-p5360,Pre-Owned Rolex Yachtmaster 226658,36642.00,40400.00
RW3068,w-rw3068,Pre-Owned Rolex Sea Dweller 126660,12287.00,16200.00
RW3071,w-rw3071,Pre-Owned Rolex GMT Master II 126710BLNR,18425.00,21100.00
T3599,w-t3599,Unworn Rolex Lady Date Just 279174,10735.00,18000.00
T3603,w-t3603,Pre-Owned Rolex Datejust 126331,16199.00,19100.00
T3644,w-t3644,ROLEX OYSTER PERPETUAL 134300,10475.00,13300.00
T3655,w-t3655,Pre-Owned Rolex Submariner Date 126613LN,17210.00,19300.00
T3681,w-t3681,Unworn Rolex Datejust 126234,12804.00,16400.00
T3704,w-t3704,Pre-Owned Rolex Submariner Date 16613,11395.00,14700.00
T3726,w-t3726,ROLEX GMT MASTER II 126713GRNR,22359.00,24500.00
T3727,w-t3727,ROLEX GMT MASTER II 126713GRNR,22771.00,24100.00
T3736,w-t3736,ROLEX MILGAUSS 116400GV,11489.00,17800.00
U3209,w-u3209,Pre-Owned Rolex Precision 6694,3104.00,4700.00
U87577,w-u87577,Pre-Owned Rolex Datejust 16264,6833.00,10200.00
U8935,w-u8935,ROLEX DATEJUST 1601,4655.00,6400.00
U9376,w-u9376,Pre-Owned Rolex Oyster Perpetual Date 6917SV,3190.00,3800.00
U1168,w-u1168,ROLEX OYSTER PERPETUAL 15200,5148.00,5700.00
U1187,w-u1187,Pre-Owned Rolex Sea Dweller 116660,10137.00,14200.00
P5363,w-p5363,Unworn Rolex GMT Master II 126710GRNR,21583.00,25800.00
U3953,w-u3953,Unworn Rolex Datejust 126334,15520.00,20200.00
4156,w-4156,Pre-Owned Rolex Sea Dweller 116660,9964.00,12400.00
4157,w-4157,Pre-Owned Rolex Sea Dweller 116660,9964.00,11800.00
U3921,w-u3921,Pre-Owned Rolex Day-Date II 218239,41601.00,42600.00
T3739,w-t3739,Pre-Owned Rolex GMT Master II 126711CHNR,19658.00,22800.00
