handle,product_id,title,action,on_model_kind,on_model_media_id,old_index,new_index,current_featured_id,expected_featured_id,expected_media_ids,media_count
lmny-snake-2-6-mm-ovsn260-bracelet,gid://shopify/Product/7659260149831,2.6mm Snake Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26141044375623,6,0,gid://shopify/MediaImage/26138561970247,gid://shopify/MediaImage/26141044375623,gid://shopify/MediaImage/26141044375623|gid://shopify/MediaImage/26138561970247|gid://shopify/MediaImage/26138562003015|gid://shopify/MediaImage/26138562035783|gid://shopify/MediaImage/26138562068551|gid://shopify/MediaImage/26138562101319|gid://shopify/MediaImage/26141044113479,7
lmny-herringbone-4-6-mm-sf050-bracelet,gid://shopify/Product/7659259920455,4.6mm Herringbone Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26141029302343,3,0,gid://shopify/MediaImage/26138561282119,gid://shopify/MediaImage/26141029302343,gid://shopify/MediaImage/26141029302343|gid://shopify/MediaImage/26138561282119|gid://shopify/MediaImage/26138561314887|gid://shopify/MediaImage/26141028810823,4
lmny-herringbone-3-8-mm-sf040-bracelet,gid://shopify/Product/7659259822151,3.8mm Herringbone Chain Bracelet in 14K Yellow Gold,skip,wrist,gid://shopify/MediaImage/26141023109191,0,0,gid://shopify/MediaImage/26141023109191,gid://shopify/MediaImage/26141023109191,gid://shopify/MediaImage/26141023109191|gid://shopify/MediaImage/26138561052743|gid://shopify/MediaImage/26138561085511|gid://shopify/MediaImage/26141023076423,4
lmny-herringbone-2-8-mm-sf030-bracelet,gid://shopify/Product/7659259723847,2.8mm Herringbone Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26141018914887,4,0,gid://shopify/MediaImage/26138560757831,gid://shopify/MediaImage/26141018914887,gid://shopify/MediaImage/26141018914887|gid://shopify/MediaImage/26138560757831|gid://shopify/MediaImage/26138560790599|gid://shopify/MediaImage/26138560823367|gid://shopify/MediaImage/26141018619975,5
lmny-curb-4-4-mm-lcrb100-bracelet,gid://shopify/Product/7659259625543,4.4mm Curb Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26141013770311,3,0,gid://shopify/MediaImage/26138560528455,gid://shopify/MediaImage/26141013770311,gid://shopify/MediaImage/26141013770311|gid://shopify/MediaImage/26138560528455|gid://shopify/MediaImage/26138560561223|gid://shopify/MediaImage/26141013213255,4
lmny-curb-3-6-mm-cc100-bracelet,gid://shopify/Product/7659259527239,3.6mm Curb Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26141007675463,3,0,gid://shopify/MediaImage/26138560233543,gid://shopify/MediaImage/26141007675463,gid://shopify/MediaImage/26141007675463|gid://shopify/MediaImage/26138560233543|gid://shopify/MediaImage/26138560266311|gid://shopify/MediaImage/26141007642695,4
lmny-rope-3-mm-slk023-bracelet,gid://shopify/Product/7659259363399,3mm Rope Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26140998434887,6,0,gid://shopify/MediaImage/26138559512647,gid://shopify/MediaImage/26140998434887,gid://shopify/MediaImage/26140998434887|gid://shopify/MediaImage/26138559512647|gid://shopify/MediaImage/26138559545415|gid://shopify/MediaImage/26138559578183|gid://shopify/MediaImage/26138559610951|gid://shopify/MediaImage/26138559643719|gid://shopify/MediaImage/26140998402119,7
lmny-paperclip-4-mm-pclip095-bracelet,gid://shopify/Product/7659259166791,4.1mm Paperclip Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26140985032775,4,0,gid://shopify/MediaImage/26138558169159,gid://shopify/MediaImage/26140985032775,gid://shopify/MediaImage/26140985032775|gid://shopify/MediaImage/26138558169159|gid://shopify/MediaImage/26138558201927|gid://shopify/MediaImage/26138558234695|gid://shopify/MediaImage/26140984705095,5
lmny-paperclip-2-5-mm-pclip060-bracelet,gid://shopify/Product/7659259035719,2.5mm Paperclip Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26140978806855,6,0,gid://shopify/MediaImage/26138557743175,gid://shopify/MediaImage/26140978806855,gid://shopify/MediaImage/26140978806855|gid://shopify/MediaImage/26138557743175|gid://shopify/MediaImage/26138557775943|gid://shopify/MediaImage/26138557808711|gid://shopify/MediaImage/26138557841479|gid://shopify/MediaImage/26138557874247|gid://shopify/MediaImage/26140978282567,7
lmny-cuban-5-5-mm-hmc150-bracelet,gid://shopify/Product/7659258937415,5.5mm Cuban Chain Bracelet in 14K Yellow Gold,reorder,wrist,gid://shopify/MediaImage/26140969795655,3,0,gid://shopify/MediaImage/26138557448263,gid://shopify/MediaImage/26140969795655,gid://shopify/MediaImage/26140969795655|gid://shopify/MediaImage/26138557448263|gid://shopify/MediaImage/26138557481031|gid://shopify/MediaImage/26140969304135,4
