handle,title,sku,product_type,current_price,cost_recorded,product_url
lab-diamond-emerald-station-line-tennis-bracelet-7-72ct-bc14ttsltemfvy750bew,Lab Grown Emerald Diamond Tennis Bracelet – 7.72 CT | Two Tone Gold,BC14TTSLTEMFVY750BEW,Bracelet,9750.00,,https://lauramilman.com/products/lab-diamond-emerald-station-line-tennis-bracelet-7-72ct-bc14ttsltemfvy750bew
lab-diamond-oval-riviera-bracelet-5-62ct-bc14tttsov550pew,Lab Grown Oval Diamond Riviera Bracelet – 5.62 CT | Two Tone Gold,BC14TTTSOV550PEW,Bracelet,7950.00,,https://lauramilman.com/products/lab-diamond-oval-riviera-bracelet-5-62ct-bc14tttsov550pew
lab-diamond-radiant-station-line-tennis-bracelet-11-3ct-bc14wsltrad550pew,Lab Grown Radiant Diamond Tennis Bracelet – 11.3 CT,BC14WSLTRAD550PEW,Bracelet,14400.00,,https://lauramilman.com/products/lab-diamond-radiant-station-line-tennis-bracelet-11-3ct-bc14wsltrad550pew
lab-diamond-round-special-bracelet-0-69ct-bc14wsprd50p,Lab Grown Round Brilliant Diamond Bracelet – 0.69 CT | 14K White Gold,BC14WSPRD50P,Bracelet,6150.00,,https://lauramilman.com/products/lab-diamond-round-special-bracelet-0-69ct-bc14wsprd50p
lab-diamond-mix-tennis-bracelet-4-69ct-bc14wts450bew-1,4.69 Carat Mixed Shape Lab Grown Diamond Tennis Bracelet - E-F VS - 14K White Gold,BC14WTS450BEW,Bracelet,6300.00,,https://lauramilman.com/products/lab-diamond-mix-tennis-bracelet-4-69ct-bc14wts450bew-1
lab-diamond-tennis-bracelet-emerald-3-7ct-bc14wtsem350bew-1,3.70 Carat Emerald Cut Lab Grown Diamond Tennis Bracelet - E-F VS - 14K White Gold,BC14WTSEM350BEW,Tennis Bracelet,5850.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-emerald-3-7ct-bc14wtsem350bew-1
lab-diamond-tennis-bracelet-marquise-4-42ct-bc14wtsmq400pew,Lab Grown Marquise Diamond Tennis Bracelet – 4.42 CT | 14K White Gold,BC14WTSMQ400PEW,Tennis Bracelet,5550.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-marquise-4-42ct-bc14wtsmq400pew
lab-diamond-marquise-tennis-bracelet-6-65ct-bc14wtsmq650pin,Lab Grown Marquise Diamond Tennis Bracelet – 6.65 CT | 14K White Gold,BC14WTSMQ650PIN,Bracelet,7350.00,,https://lauramilman.com/products/lab-diamond-marquise-tennis-bracelet-6-65ct-bc14wtsmq650pin
lab-diamond-tennis-bracelet-pear-4-16ct-bc14wtsps400pew,Lab Grown Pear Diamond Tennis Bracelet – 4.16 CT | 14K White Gold,BC14WTSPS400PEW,Tennis Bracelet,5100.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-pear-4-16ct-bc14wtsps400pew
lab-diamond-pear-tennis-bracelet-4-52ct-bc14wtsps450rdpew,Lab Grown Pear Diamond Tennis Bracelet – 4.52 CT | 14K White Gold,BC14WTSPS450RDPEW,Bracelet,5850.00,,https://lauramilman.com/products/lab-diamond-pear-tennis-bracelet-4-52ct-bc14wtsps450rdpew
