item_number,url,retail,price_read,lengths_karats,error
NMC120,https://www.royalchain.com/nmc120.html,10995.00,yes,14K Yellow:18in=$10995.00;14K Yellow:20in=$12345.00;14K Yellow:22in=$13250.00;14K Yellow:24in=$14600.00;14K Yellow:26in=$15730.00,
NHMC120,https://www.royalchain.com/nhmc120.html,5190.00,yes,14K Yellow:18in=$5190.00;14K Yellow:20in=$5680.00;14K Yellow:22in=$6165.00;14K Yellow:24in=$6650.00,
NHMC150,https://www.royalchain.com/nhmc150.html,3910.00,yes,14K Yellow:8in=$3910.00;14K Yellow:18in=$7125.00;14K Yellow:20in=$7895.00;14K Yellow:22in=$8700.00;14K Yellow:24in=$9490.00,
HMC150,https://www.royalchain.com/hmc150.html,3965.00,yes,14K Yellow:8.5in=$3965.00;14K Yellow:20in=$9135.00;14K Yellow:24in=$10955.00,
MC180,https://www.royalchain.com/mc180.html,9715.00,yes,14K Yellow:8.5in=$9715.00,
PCLIP060,https://www.royalchain.com/pclip060.html,825.00,yes,14K Yellow:7in=$825.00;14K Yellow:18in=$1920.00;14K Yellow:20in=$2120.00;14K Yellow:24in=$2500.00,
PCLIP095,https://www.royalchain.com/pclip095.html,2240.00,yes,14K Yellow:7.25in=$2240.00;14K Yellow:18in=$5220.00;14K Yellow:20in=$5780.00;14K Yellow:24in=$6935.00,
CH014,https://www.royalchain.com/ch014.html,515.00,yes,14K Yellow:3in=$515.00,
PROY018,https://www.royalchain.com/proy018.html,3280.00,yes,14K Rose:18in=$3280.00;14K Rose:20in=$3635.00;14K Rose:22in=$4040.00;14K Rose:24in=$4515.00,
HSR018,https://www.royalchain.com/hsr018.html,1345.00,yes,14K Yellow:16in=$1345.00;14K Yellow:18in=$1485.00;14K Yellow:20in=$1625.00;14K Yellow:22in=$1760.00;14K Yellow:24in=$1900.00,
SLK023,https://www.royalchain.com/slk023.html,2360.00,yes,14K Yellow:7in=$2360.00;14K Yellow:8in=$2635.00;14K Yellow:18in=$5680.00;14K Yellow:20in=$6425.00;14K Yellow:22in=$7045.00;14K Yellow:24in=$7645.00,
CC080,https://www.royalchain.com/cc080.html,2030.00,yes,14K Yellow:16in=$2030.00;14K Yellow:18in=$2305.00;14K Yellow:20in=$2535.00;14K Yellow:22in=$2810.00;14K Yellow:24in=$3090.00,
CC100,https://www.royalchain.com/cc100.html,1385.00,yes,14K Yellow:7in=$1385.00;14K Yellow:16in=$2810.00;14K Yellow:18in=$3135.00;14K Yellow:20in=$3550.00;14K Yellow:22in=$3825.00;14K Yellow:24in=$4240.00,
LCRB100,https://www.royalchain.com/lcrb100.html,1195.00,yes,14K Yellow:7in=$1195.00;14K Yellow:18in=$2555.00;14K Yellow:20in=$2785.00;14K Yellow:22in=$2985.00;14K Yellow:24in=$3185.00,
SF030,https://www.royalchain.com/sf030.html,840.00,yes,14K Yellow:7in=$840.00;14K Yellow:8in=$955.00;14K Yellow:10in=$1210.00;14K Yellow:16in=$1720.00;14K Yellow:18in=$1950.00;14K Yellow:20in=$2090.00;14K Yellow:24in=$2510.00,
SF040,https://www.royalchain.com/sf040.html,1325.00,yes,14K Yellow:7in=$1325.00;14K Yellow:8in=$1395.00;14K Yellow:16in=$2690.00;14K Yellow:18in=$3015.00;14K Yellow:20in=$3385.00;14K Yellow:24in=$4080.00,
SF050,https://www.royalchain.com/sf050.html,1765.00,yes,14K Yellow:7in=$1765.00;14K Yellow:8in=$1995.00;14K Yellow:16in=$3570.00;14K Yellow:18in=$3940.00;14K Yellow:20in=$4265.00;14K Yellow:24in=$5050.00,
BOX073,https://www.royalchain.com/box073.html,2705.00,yes,14K Yellow:16in=$2705.00;14K Yellow:18in=$3030.00;14K Yellow:20in=$3370.00;14K Yellow:22in=$3685.00;14K Yellow:24in=$4025.00,
SRBX130,https://www.royalchain.com/srbx130.html,6600.00,yes,14K Yellow:16in=$6600.00;14K Yellow:18in=$7410.00;14K Yellow:20in=$8200.00;14K Yellow:24in=$9850.00,
OVSN200,https://www.royalchain.com/ovsn200.html,2030.00,yes,14K Yellow:16in=$2030.00;14K Yellow:18in=$2280.00;14K Yellow:20in=$2530.00,
OVSN260,https://www.royalchain.com/ovsn260.html,1155.00,yes,14K Yellow:7in=$1155.00;14K Yellow:16in=$2310.00;14K Yellow:18in=$2660.00;14K Yellow:20in=$2910.00,
