rank,style,name,width_mm,item_number,color_check,url,lengths,image_url
1,Cuban,14K Gold 3.9mm Classic Miami Cuban,3.9,NMC120,yellow,https://www.royalchain.com/nmc120.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/n/m/nmc120.jpg
2,Cuban,14K Gold 4.5mm Semi-Solid Miami Cuban Chai...,4.5,NHMC120,yellow,https://www.royalchain.com/nhmc120.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/n/h/nhmc120.jpg
3,Cuban,14K Gold 5mm Semi-Solid Miami Cuban Chain,5,NHMC150,yellow,https://www.royalchain.com/nhmc150.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/n/h/nhmc150.jpg
4,Cuban,14K Gold 5.5mm Semi-Solid Miami Cuban,5.5,HMC150,yellow,https://www.royalchain.com/hmc150.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/h/m/hmc150.jpg
5,Cuban,14K Gold 6mm Miami Cuban,6,MC180,yellow,https://www.royalchain.com/mc180.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/m/c/mc180.jpg
6,Paperclip,14K Gold 2.5mm Paperclip Chain,2.5,PCLIP060,yellow,https://www.royalchain.com/pclip060.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/p/c/pclip060_yellow.jpg
7,Paperclip,14K 4mm Paperclip Chain,4,PCLIP095,yellow,https://www.royalchain.com/pclip095.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/p/c/pclip095.jpg
8,Rope,"14K Gold 1.8mm Rope Chain 3"" Extender",1.8,CH014,yellow,https://www.royalchain.com/ch014.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/c/h/ch014_1.jpg
9,Rope,14K Gold 2.3mm Solid Royal Rope Chain,2.3,PROY018,yellow,https://www.royalchain.com/proy018.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/p/r/proy018.jpg
10,Rope,14K Gold 2.5mm Lite Rope Chain,2.5,HSR018,yellow,https://www.royalchain.com/hsr018.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/h/s/hsr018.jpg
11,Rope,14K 3mm Silk Rope Chain,3,SLK023,yellow,https://www.royalchain.com/slk023.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/s/l/slk023_u.jpg
12,Curb,14K Gold 3.2mm Comfort Curb Chain,3.2,CC080,yellow,https://www.royalchain.com/cc080.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/c/c/cc080.jpg
13,Curb,14K Gold 3.6mm Comfort Curb Chain,3.6,CC100,yellow,https://www.royalchain.com/cc100.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/c/c/cc100.jpg
14,Curb,14K Gold 4.4mm Lite Curb Chain,4.4,LCRB100,yellow,https://www.royalchain.com/lcrb100.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/l/c/lcrb100.jpg
15,Herringbone,14K Gold 2.8mm Imperial Herringbone Chain,2.8,SF030,yellow,https://www.royalchain.com/sf030.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/s/f/sf030.jpg
16,Herringbone,14K Gold 3.8mm Imperial Herringbone Chain,3.8,SF040,yellow,https://www.royalchain.com/sf040.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/s/f/sf040.jpg
17,Herringbone,14K Gold 4.6mm Imperial Herringbone Chain,4.6,SF050,yellow,https://www.royalchain.com/sf050.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/s/f/sf050.jpg
18,Box,14K Gold 1.4mm Classic Box Chain,1.4,BOX073,yellow,https://www.royalchain.com/box073.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/b/o/box073.jpg
19,Box,14K Gold 2.5mm Solid Round Box Chain,2.5,SRBX130,yellow,https://www.royalchain.com/srbx130.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/s/r/srbx130.jpg
20,Snake,14K Gold 2mm Oval Snake Chain,2,OVSN200,yellow,https://www.royalchain.com/ovsn200.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/o/v/ovsn200.jpg
21,Snake,14K 2.6mm Oval Snake Chain,2.6,OVSN260,yellow,https://www.royalchain.com/ovsn260.html,,https://www.royalchain.com/media/catalog/product/cache/a2d231b9022cd038dbf87f662cc1706d/o/s/osvn260_zoom.jpg
