Info,Version=1.0.0
Action,ItemID,CustomLabel,ReturnProfileName
Revise,366610439542,w-3180,No returns accepted - (ID: 24363507020)
Revise,366610439547,w-3194,No returns accepted - (ID: 24363507020)
Revise,366610439557,w-3286,No returns accepted - (ID: 24363507020)
Revise,366610439561,w-3314,No returns accepted - (ID: 24363507020)
Revise,366610439558,w-3355,No returns accepted - (ID: 24363507020)
Revise,366610439556,w-3365,No returns accepted - (ID: 24363507020)
Revise,366610439564,w-3398,No returns accepted - (ID: 24363507020)
Revise,366610439695,w-3481,No returns accepted - (ID: 24363507020)
Revise,366610439570,w-3514,No returns accepted - (ID: 24363507020)
Revise,366610439572,w-3519,No returns accepted - (ID: 24363507020)
Revise,366610439565,w-3530,No returns accepted - (ID: 24363507020)
Revise,366610439559,w-3613,No returns accepted - (ID: 24363507020)
Revise,366610439597,w-3682,No returns accepted - (ID: 24363507020)
Revise,366610439576,w-3838,No returns accepted - (ID: 24363507020)
Revise,366610439579,w-3850,No returns accepted - (ID: 24363507020)
Revise,366610439581,w-3869,No returns accepted - (ID: 24363507020)
Revise,366610439582,w-3872,No returns accepted - (ID: 24363507020)
Revise,366610439587,w-3882,No returns accepted - (ID: 24363507020)
Revise,366610439589,w-3906,No returns accepted - (ID: 24363507020)
Revise,366610439592,w-3979,No returns accepted - (ID: 24363507020)
Revise,366610439596,w-3994,No returns accepted - (ID: 24363507020)
Revise,366610439573,w-4081,No returns accepted - (ID: 24363507020)
Revise,366610439599,w-4085,No returns accepted - (ID: 24363507020)
Revise,366610439591,w-6197,No returns accepted - (ID: 24363507020)
Revise,366610439606,w-8114,No returns accepted - (ID: 24363507020)
Revise,366610439632,w-8994,No returns accepted - (ID: 24363507020)
Revise,366610439624,w-9004,No returns accepted - (ID: 24363507020)
Revise,366610439633,w-9077,No returns accepted - (ID: 24363507020)
Revise,366610439647,w-9220,No returns accepted - (ID: 24363507020)
Revise,366610439644,w-9469,No returns accepted - (ID: 24363507020)
Revise,366610439654,w-9696,No returns accepted - (ID: 24363507020)
Revise,366610439663,w-9855,No returns accepted - (ID: 24363507020)
Revise,366610439665,w-9989,No returns accepted - (ID: 24363507020)
Revise,366610439658,w-p5267,No returns accepted - (ID: 24363507020)
Revise,366610439662,w-rw3036,No returns accepted - (ID: 24363507020)
Revise,366610439666,w-rw3039,No returns accepted - (ID: 24363507020)
Revise,366610439668,w-rw3041,No returns accepted - (ID: 24363507020)
Revise,366610439669,w-rw3067,No returns accepted - (ID: 24363507020)
Revise,366610439687,w-t3431,No returns accepted - (ID: 24363507020)
Revise,366610439667,w-t3487,No returns accepted - (ID: 24363507020)
Revise,366610439664,w-t3513,No returns accepted - (ID: 24363507020)
Revise,366610439672,w-t3514,No returns accepted - (ID: 24363507020)
Revise,366610439674,w-t3559,No returns accepted - (ID: 24363507020)
Revise,366610439670,w-t3608,No returns accepted - (ID: 24363507020)
Revise,366610439679,w-t3639,No returns accepted - (ID: 24363507020)
Revise,366610439681,w-t3652,No returns accepted - (ID: 24363507020)
Revise,366610439682,w-t3653,No returns accepted - (ID: 24363507020)
Revise,366610439686,w-t3676,No returns accepted - (ID: 24363507020)
Revise,366610439678,w-t3685,No returns accepted - (ID: 24363507020)
Revise,366610439693,w-u1037,No returns accepted - (ID: 24363507020)
Revise,366610439684,w-u1071,No returns accepted - (ID: 24363507020)
Revise,366610439690,w-u1122,No returns accepted - (ID: 24363507020)
