#INFO,Created=1786941227436,,,,,,, Indicates required field for creating listings,,,,, Indicates missing field that will be required soon
#INFO,Version=1.0,,,,Template=eBay-listings-template_EBAY_US,,, Indicates missing recommended field,,,,, Indicates field does not apply to this item/category
#INFO
*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Custom Label (SKU),Category ID,TrackingId (Do Not Change),Category Name,Title,Original Row Number,Schedule Time,P:EPID,Start price,Quantity,Item photo URL,VideoID,Condition ID,Description,Format,Duration,Buy It Now price,Best Offer Enabled,Best Offer Auto Accept Price,Minimum Best Offer Price,Immediate pay required,Location,Postal code,PostalCode,OriginatingPostalCode,Package weight,WeightMajor,WeightMinor,Weight unit,WeightUnit,Package type,PackageType,Shipping service 1 option,Shipping service 1 cost,Shipping service 1 priority,Shipping service 2 option,Shipping service 2 cost,Shipping service 2 priority,Max dispatch time,Returns accepted option,Returns within option,Refund option,Return shipping cost paid by,Shipping profile name,Return profile name,Payment profile name,C:Brand,C:Department,C:Type,C:Reference Number,C:Customized,C:Style,C:Model,C:Features,C:Movement,C:Dial Color,C:Band Color,C:Bezel Color,C:Case Color,C:Band Material,C:Display,C:Case Material,C:Water Resistance,C:Year Manufactured,C:With Original Box/Packaging,C:With Papers,C:Indices,C:Case Size,C:Watch Shape,C:Number of Jewels,C:Band/Strap,C:Country of Origin,C:Dial Pattern,C:Caseback,C:Bezel Type,C:Vintage,C:Band Width,C:Lug Width,C:Theme,C:Case Finish,C:With Manual/Booklet,C:Seller Warranty,C:With Service Records,C:Handmade,C:Case Thickness,C:Manufacturer Warranty,C:Escapement Type,C:Max Wrist Size,C:Closure,C:Handedness,C:California Prop 65 Warning,C:Unit Quantity,C:Unit Type,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,w-10026,31387,Feed-13321584275-3,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Oyster Perpetual Date 6827 Womens Pre-Owned Watch No Box/Papers,5,,,8831.00,1,https://i.ebayimg.com/images/g/eRgAAeSwDp1qgo8W/s-l1600.jpg,,3000,"The Rolex Oyster Perpetual Date 6827 is a vintage women's wristwatch with a mechanical (automatic) movement. This classic timepiece from Rolex features a perpetual date function and an analog display, making it a stylish and reliable accessory for any woman's collection. While this pre-owned watch does not come with its original box or papers, it still holds value as a timeless piece from a reputable brand like Rolex.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Women,Wristwatch,6827,,,Oyster Perpetual Date,Perpetual Date,Mechanical (Automatic),,,,,,Analog,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3119,31387,Feed-13321584275-4,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Oysterdate 6494 Mens Pre-Owned Watch No Box/Papers,6,,,3636.00,1,https://i.ebayimg.com/images/g/m1cAAeSwhP1qgo8W/s-l1600.jpg,,3000,"The Rolex Oysterdate 6494 is a vintage men's wristwatch with a classic silver stainless steel case and band. This pre-owned watch features a mechanical manual movement and an analog display, making it a timeless and reliable timepiece. Despite not having its original box or papers, this Rolex watch is a valuable investment for collectors and watch enthusiasts alike.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,6494,,,Oysterdate,,Mechanical (Manual),,Silver,,Silver,Stainless Steel,Analog,Stainless Steel,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3131,31387,Feed-13321584275-5,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Air-King 5700 Mens Pre-Owned Watch No Box/Papers,7,,,4964.00,1,https://i.ebayimg.com/images/g/q3EAAeSwVf1qgo8W/s-l1600.jpg,,3000,"The Rolex Air-King 5700 is a vintage men's pre-owned watch with a classic design and timeless appeal. This wristwatch features a mechanical automatic movement, stainless steel case and band, and a silver dial with an analog display. Although it does not come with its original box or papers, it is a reliable and stylish accessory for any watch enthusiast. The reference number 5700 adds a touch of authenticity to this Rolex timepiece, making it a must-have for collectors and those who appreciate quality craftsmanship.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,5700,,,Air-King,,Mechanical (Automatic),,Silver,,Silver,Stainless Steel,Analog,Stainless Steel,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3180,31387,Feed-13321584275-6,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Day-Date 228348RBR Mens Pre-Owned Watch w/ Papers,8,,,78564.00,1,https://i.ebayimg.com/images/g/d~EAAeSwgYVqgo8W/s-l1600.jpg,,3000,"The Rolex Day-Date 228348RBR Men's Pre-Owned Watch is a luxurious timepiece featuring a mechanical (automatic) movement. This elegant wristwatch is part of the iconic Rolex brand, known for its high-quality craftsmanship and design. The watch boasts a yellow gold band and case material, with the added feature of a day-date display on the analog dial. Perfect for the modern man who values both style and functionality, this watch comes with original papers and is a timeless piece for any jewelry and watch collection.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,228348RBR,,,Rolex Day-Date,Day-Date,Mechanical (Automatic),,,,,Yellow Gold,Analog,Yellow Gold,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3194,31387,Feed-13321584275-7,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Submariner Date 126610LN Mens Pre-Owned Watch No Box/Papers,9,,,14441.00,1,https://i.ebayimg.com/images/g/bzAAAeSwv-Jqgo8W/s-l1600.jpg,,3000,"The Rolex Submariner Date 126610LN is a stylish and high-quality men's pre-owned watch that does not come with its original box or papers. This wristwatch features a sleek silver case and matching silver band, with a black dial displaying the date. The watch is water-resistant and has a mechanical automatic movement, making it both practical and reliable for everyday wear. With its iconic Rolex Submariner model and classic design, this watch is a timeless piece that will add a touch of luxury to any outfit.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,126610LN,,,Rolex Submariner,Date,Mechanical (Automatic),Black,Silver,,Silver,,Analog,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3200,31387,Feed-13321584275-8,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Lady Date Just 6919 Womens Pre-Owned Watch No Box/Papers,10,,,4074.00,1,https://i.ebayimg.com/images/g/ikQAAeSwtGBqgo8W/s-l1600.jpg,,3000,"The Rolex Lady Date Just 6919 is a vintage women's pre-owned watch that features a mechanical automatic movement. This classic timepiece from Rolex boasts a silver case color and matching silver band, with the iconic date feature displayed on an analog dial. Though it does not come with its original box or papers, this elegant Rolex model is a timeless piece that exudes sophistication and style for any woman's collection.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Women,Wristwatch,6919,,,Rolex Lady-Datejust,Date,Mechanical (Automatic),,Silver,,Silver,,Analog,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3201,31387,Feed-13321584275-9,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Oyster Perpetual Lady 6919 Womens Pre-Owned Watch No Box/Papers,11,,,4074.00,1,https://i.ebayimg.com/images/g/oQQAAeSw87Bqgo8W/s-l1600.jpg,,3000,"The Rolex Oyster Perpetual Lady 6919 women's pre-owned watch is a vintage timepiece with a classic analog display. This wristwatch features a mechanical automatic movement and is a genuine Rolex brand. The watch does not come with the original box or papers, making it a great find for collectors or those looking for a reliable and stylish accessory without the added packaging. The reference number 6919 adds to the authenticity and history of this elegant timepiece.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Women,Wristwatch,6919,,,Oyster Perpetual Lady,,Mechanical (Automatic),,,,,,Analog,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3221,31387,Feed-13321584275-10,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Oyster Precision 6422 Mens Pre-Owned Watch No Box/Papers,12,,,4284.00,1,https://i.ebayimg.com/images/g/l1cAAeSwyudqgo8W/s-l1600.jpg,,3000,"The product is a pre-owned Rolex Oyster Precision 6422 men's wristwatch with a stainless steel case and band. This vintage timepiece features an analog display and is part of the Rolex brand. Despite missing its original box and papers, it is a classic and timeless piece that is sure to appeal to watch enthusiasts and collectors.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,6422,,,Oyster Precision,,,,Silver,,Silver,Stainless Steel,Analog,Stainless Steel,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3224,31387,Feed-13321584275-11,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Oyster Perpetual 6505 Unisex Pre-Owned Watch No Box/Papers,13,,,4751.00,1,https://i.ebayimg.com/images/g/nsMAAeSwR-Fqgo8W/s-l1600.jpg,,3000,"The Rolex Oyster Perpetual 6505 is a vintage unisex wristwatch with a classic silver stainless steel case and band. Featuring a mechanical automatic movement, this analog watch is a timeless piece that exudes sophistication and style. Despite being pre-owned and not accompanied by its original box or papers, this Rolex watch remains a valuable and sought-after collector's item for watch enthusiasts and fans of the luxury brand.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Unisex Adults,Wristwatch,6505,,,Oyster Perpetual,,Mechanical (Automatic),Silver,Silver,,Silver,Stainless Steel,Analog,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3234,31387,Feed-13321584275-12,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Lady Date Just 6919 Womens Good Watch No Box/Papers,14,,,4074.00,1,https://i.ebayimg.com/images/g/yaUAAeSwbjtqgo8W/s-l1600.jpg,,3000,"The Rolex Lady Date Just 6919 is a vintage women's wristwatch featuring a mechanical automatic movement. With a silver dial and stainless steel band, this Rolex model exudes elegance and sophistication. While it does not come with its original box or papers, this timepiece still holds its value as a classic Rolex model with a date feature and analog display. A versatile and stylish accessory for any woman's collection, the Rolex Lady Date Just 6919 is a timeless piece of jewelry that embodies quality craftsmanship and timeless design.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Women,Wristwatch,6919,,,Rolex Lady-Datejust,Date,Mechanical (Automatic),Silver,Silver,,Silver,Stainless Steel,Analog,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
