#INFO,Created=1786941227436,,,,,,, Indicates required field for creating listings,,,,, Indicates missing field that will be required soon
#INFO,Version=1.0,,,,Template=eBay-listings-template_EBAY_US,,, Indicates missing recommended field,,,,, Indicates field does not apply to this item/category
#INFO
*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Item number,Custom Label (SKU),Category ID,TrackingId (Do Not Change),Category Name,Title,Original Row Number,Schedule Time,P:EPID,Start price,Quantity,Item photo URL,VideoID,Condition ID,Description,Format,Duration,Buy It Now price,Best Offer Enabled,Best Offer Auto Accept Price,Minimum Best Offer Price,Immediate pay required,Location,Postal code,PostalCode,OriginatingPostalCode,Package weight,WeightMajor,WeightMinor,Weight unit,WeightUnit,Package type,PackageType,Shipping service 1 option,Shipping service 1 cost,Shipping service 1 priority,Shipping service 2 option,Shipping service 2 cost,Shipping service 2 priority,Max dispatch time,Returns accepted option,Returns within option,Refund option,Return shipping cost paid by,Shipping profile name,Return profile name,Payment profile name,C:Brand,C:Department,C:Type,C:Reference Number,C:Customized,C:Style,C:Model,C:Features,C:Movement,C:Dial Color,C:Band Color,C:Bezel Color,C:Case Color,C:Band Material,C:Display,C:Case Material,C:Water Resistance,C:Year Manufactured,C:With Original Box/Packaging,C:With Papers,C:Indices,C:Case Size,C:Watch Shape,C:Number of Jewels,C:Band/Strap,C:Country of Origin,C:Dial Pattern,C:Caseback,C:Bezel Type,C:Vintage,C:Band Width,C:Lug Width,C:Theme,C:Case Finish,C:With Manual/Booklet,C:Seller Warranty,C:With Service Records,C:Handmade,C:Case Thickness,C:Manufacturer Warranty,C:Escapement Type,C:Max Wrist Size,C:Closure,C:Handedness,C:California Prop 65 Warning,C:Unit Quantity,C:Unit Type,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Revise,366610439542,w-3180,31387,Feed-13321584275-6,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Day-Date 228348RBR Mens Pre-Owned Watch w/ Papers,8,,,78564.00,1,https://i.ebayimg.com/images/g/d~EAAeSwgYVqgo8W/s-l1600.jpg,,3000,"The Rolex Day-Date 228348RBR Men's Pre-Owned Watch is a luxurious timepiece featuring a mechanical (automatic) movement. This elegant wristwatch is part of the iconic Rolex brand, known for its high-quality craftsmanship and design. The watch boasts a yellow gold band and case material, with the added feature of a day-date display on the analog dial. Perfect for the modern man who values both style and functionality, this watch comes with original papers and is a timeless piece for any jewelry and watch collection.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,228348RBR,,,Rolex Day-Date,Day-Date,Mechanical (Automatic),,,,,Yellow Gold,Analog,Yellow Gold,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439547,w-3194,31387,Feed-13321584275-7,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Submariner Date 126610LN Mens Pre-Owned Watch No Box/Papers,9,,,14441.00,1,https://i.ebayimg.com/images/g/bzAAAeSwv-Jqgo8W/s-l1600.jpg,,3000,"The Rolex Submariner Date 126610LN is a stylish and high-quality men's pre-owned watch that does not come with its original box or papers. This wristwatch features a sleek silver case and matching silver band, with a black dial displaying the date. The watch is water-resistant and has a mechanical automatic movement, making it both practical and reliable for everyday wear. With its iconic Rolex Submariner model and classic design, this watch is a timeless piece that will add a touch of luxury to any outfit.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,126610LN,,,Rolex Submariner,Date,Mechanical (Automatic),Black,Silver,,Silver,,Analog,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439557,w-3286,31387,Feed-13321584275-13,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",AP Royal Oak Selfwinding 15510ST Mens Mint Watch Full Set Box & Papers,15,,,51765.00,1,https://i.ebayimg.com/images/g/AcQAAeSwXRhqgo8W/s-l1600.jpg,,2990,"The AP Royal Oak Selfwinding 15510ST Men's Mint Watch is a luxurious timepiece from the renowned brand Audemars Piguet. This wristwatch features a mechanical automatic movement with a water resistance of 50m, making it both stylish and practical for everyday wear. The watch comes with original box and papers, and the sleek stainless steel case and band in silver color add a touch of sophistication to the design. With its baton indexes and self-winding feature, this watch is a perfect choice for any watch enthusiast looking for a high-quality timepiece.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Audemars Piguet,Men,Wristwatch,15510ST,,,Royal Oak Selfwinding,Self-Winding,Mechanical (Automatic),,Silver,,Silver,Stainless Steel,Analog,Stainless Steel,50 m (5 ATM),,Yes,Yes,Baton Indexes,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439561,w-3314,31387,Feed-13321584275-14,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Daytona 116505 Mens Mint Watch w/ Papers,16,,,46809.00,1,https://i.ebayimg.com/images/g/jQwAAeSw5glqgo8W/s-l1600.jpg,,2990,"The Rolex Daytona 116505 Men's Mint Watch is a high-quality wristwatch known for its mechanical (automatic) movement and water resistance up to 100 meters. It comes with original papers, making it a valuable and reliable timepiece for any man. The analog display and sleek design make it a stylish accessory for any occasion. Perfect for those who appreciate fine craftsmanship and precision engineering in a luxury watch from a trusted brand like Rolex.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,116505,,,Daytona,,Mechanical (Automatic),,,,,,Analog,,100 m (10 ATM),,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439558,w-3355,31387,Feed-13321584275-16,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Datejust 178271 Unisex Good Watch No Box/Papers,18,,,15074.00,1,https://i.ebayimg.com/images/g/-bcAAeSwDO5qgo8W/s-l1600.jpg,,3000,"The Rolex Datejust 178271 is a unisex wristwatch with a mechanical (automatic) movement. This elegant timepiece features diamond markers on the dial, making it a luxurious and stylish accessory. Despite not having the original box or papers, this Rolex watch is a reliable and timeless piece that exudes sophistication and quality craftsmanship. Perfect for both men and women, this analog display watch is a classic choice for any watch enthusiast.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Unisex Adults,Wristwatch,178271,,,Rolex Datejust,,Mechanical (Automatic),,,,,,Analog,,,,No,No,Diamond Markers,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439556,w-3365,31387,Feed-13321584275-17,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Datejust 116203 Unisex Pre-Owned Watch No Box/Papers,19,,,10622.00,1,https://i.ebayimg.com/images/g/gOgAAeSwUulqgo8X/s-l1600.jpg,,3000,"The Rolex Datejust 116203 is a unisex pre-owned wristwatch with a stainless steel case and a mechanical (automatic) movement. It features a water resistance of 100m (10 ATM) and an analog display. This model comes without its original box/packaging and papers, making it a great choice for a collector or someone looking to add a high-quality timepiece to their collection.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Unisex Adults,Wristwatch,116203,,,Rolex Datejust,,Mechanical (Automatic),,,,Silver,,Analog,,100 m (10 ATM),,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439564,w-3398,31387,Feed-13321584275-18,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Sky-Dweller 336933 Mens Pre-Owned Watch Full Set Box & Papers,20,,,24444.00,1,https://i.ebayimg.com/images/g/gvUAAeSwvFVqgo8W/s-l1600.jpg,,3000,"The Rolex Sky-Dweller 336933 Men's Pre-Owned Watch comes with the original box and papers, making it a complete set for collectors and watch enthusiasts. This wristwatch features a black dial, mechanical automatic movement, and water resistance up to 100 meters. The vintage design is sleek and stylish, perfect for everyday wear or special occasions. With its reputable Rolex brand, this watch is a timeless piece that showcases sophistication and precision in every detail.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,336933,,,Sky-Dweller,,Mechanical (Automatic),Black,,,,,Analog,,100 m (10 ATM),,Yes,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439570,w-3514,31387,Feed-13321584275-19,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Datejust 126234 Unisex Good Watch w/ Papers,21,,,12802.00,1,https://i.ebayimg.com/images/g/0QYAAeSwX0Zqgo8X/s-l1600.jpg,,3000,"The Rolex Datejust 126234 is a unisex wristwatch with a mechanical automatic movement, featuring a silver case and stainless steel band. The black dial with date display adds a touch of sophistication to this timeless Rolex model. This watch comes with papers, adding authenticity and value to the overall design. Perfect for watch enthusiasts looking for a high-quality timepiece with a classic and elegant aesthetic.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Unisex Adults,Wristwatch,126234,,,Rolex Datejust,,Mechanical (Automatic),Black,Silver,,Silver,Stainless Steel,Analog,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439572,w-3519,31387,Feed-13321584275-20,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Day-Date 218235 Mens Pre-Owned Watch w/ Papers,22,,,43937.00,1,https://i.ebayimg.com/images/g/zbsAAeSwT4dqgo8X/s-l1600.jpg,,3000,"The Rolex Day-Date 218235 Mens Pre-Owned Watch is a luxurious timepiece that exudes sophistication and style. Featuring a mechanical automatic movement, this wristwatch is reliable and elegant. With its rose gold band and case, this Rolex model is a classic choice for any man looking to make a statement with his accessories. The inclusion of papers adds to the authenticity and value of this prestigious timepiece, making it a coveted piece for watch enthusiasts and collectors alike.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,218235,,,Rolex Day-Date,Day-Date,Mechanical (Automatic),,,,,Rose Gold,Analog,Rose Gold,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,366610439565,w-3530,31387,Feed-13321584275-21,"/Jewelry & Watches/Watches, Parts & Accessories/Watches/Wristwatches",Rolex Day-Date II 218235 Mens Pre-Owned Watch w/ Papers,23,,,43937.00,1,https://i.ebayimg.com/images/g/Jv4AAeSw~wdqgo8X/s-l1600.jpg,,3000,"The Rolex Day-Date II 218235 Men's Pre-Owned Watch is a stylish and luxurious timepiece featuring a mechanical automatic movement with water resistance up to 100 meters. This elegant wristwatch has a rose gold band and case, making it a versatile accessory for any occasion. Complete with papers, this Rolex model is a timeless piece that exudes sophistication and class. With its day-date feature and analog display, this watch is a must-have for any watch enthusiast or collector.",FixedPrice,GTC,,,,,,"New York, NY",10036,10036,10036,2,2,0,lb,lb,PackageThickEnvelope,PackageThickEnvelope,,,,,,,,,,,,Daily Deals - 1Handling Day - (ID: 258461530020),No returns accepted - (ID: 24363507020),eBay Managed Payments (246832199020) - (ID: 246832199020),Rolex,Men,Wristwatch,218235,,,Rolex Day-Date II,Day-Date,Mechanical (Automatic),,,,,Rose Gold,Analog,Rose Gold,100 m (10 ATM),,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
