#INFO,Version=1.0.0,,Template=eBay-taxonomy-mapping-template_US,
#INFO,Set A,,Set B,
Custom Label (SKU),Item Photo URL,Title,Category,Aspects
w-10026,https://cdn.shopify.com/s/files/1/1727/2565/files/10026_84a401bd-ee25-4078-90a0-17da41422fdc.jpg,Rolex Oyster Perpetual Date 6827 Womens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Oyster Perpetual Date|Reference Number=6827|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3119,https://cdn.shopify.com/s/files/1/1727/2565/files/3119_1c93a0d0-6f8b-4235-9136-75d87cc206a4.jpg,Rolex Oysterdate 6494 Mens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Oysterdate|Reference Number=6494|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3131,https://cdn.shopify.com/s/files/1/1727/2565/files/3131_bda186fa-da70-4523-ab90-66cd8308e69a.jpg,Rolex Air-King 5700 Mens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Air-King|Reference Number=5700|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3180,https://cdn.shopify.com/s/files/1/1727/2565/files/3180_2184db1d-c291-4530-892d-51c985fb070a.jpg,Rolex Day-Date 228348RBR Mens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228348RBR|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3194,https://cdn.shopify.com/s/files/1/1727/2565/files/3194_3a05b784-8661-4f6d-88e9-ca9f362cf028.jpg,Rolex Submariner Date 126610LN Mens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Submariner Date|Reference Number=126610LN|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3200,https://cdn.shopify.com/s/files/1/1727/2565/files/3200.jpg,Rolex Lady Date Just 6919 Womens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Lady Date Just|Reference Number=6919|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3201,https://cdn.shopify.com/s/files/1/1727/2565/files/3201_0a130aa9-6fb2-4491-944f-0f15c37b0bab.jpg,Rolex Oyster Perpetual Lady 6919 Womens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Oyster Perpetual Lady|Reference Number=6919|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3221,https://cdn.shopify.com/s/files/1/1727/2565/files/3221_f8d16d31-5e5f-41df-923c-2cf715bd380e.jpg,Rolex Oyster Precision 6422 Mens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Oyster Precision|Reference Number=6422|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3224,https://cdn.shopify.com/s/files/1/1727/2565/files/3224.jpg,Rolex Oyster Perpetual 6505 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=6505|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3234,https://cdn.shopify.com/s/files/1/1727/2565/files/3234_b1dd095f-2551-4e77-a3ad-2e65857dcb93.jpg,Rolex Lady Date Just 6919 Womens Good Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Lady Date Just|Reference Number=6919|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
