Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Brand,*C:Department,*C:Type,C:Reference Number,C:Customized,C:Style,C:Model,C:Features,C:Movement,C:Dial Color,C:Band Color,C:Bezel Color,C:Case Color,C:Band Material,C:Display,C:Case Material,C:Water Resistance,C:Year Manufactured,C:With Original Box/Packaging,C:With Papers,C:Indices,C:Case Size,C:Watch Shape,C:Number of Jewels,C:Band/Strap,C:Country of Origin,C:Dial Pattern,C:Caseback,C:Bezel Type,C:Vintage,C:Band Width,C:Lug Width,C:Theme,C:Case Finish,C:With Manual/Booklet,C:Seller Warranty,C:With Service Records,C:Handmade,C:Case Thickness,C:Manufacturer Warranty,C:Escapement Type,C:Max Wrist Size,C:Closure,C:Handedness,C:California Prop 65 Warning,C:Unit Quantity,C:Unit Type,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,ProductCompliancePolicyID,Regional ProductCompliancePolicies,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,w-10026,31387,,Rolex Oyster Perpetual Date 6827 Womens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Women,Wristwatch,6827,,,Oyster Perpetual Date,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/10026_84a401bd-ee25-4078-90a0-17da41422fdc.jpg?v=1786082228,,,"Pre-Owned Rolex Oyster Perpetual Date 6827. Offered on its own, without box or papers.",FixedPrice,GTC,8831.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3119,31387,,Rolex Oysterdate 6494 Mens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Men,Wristwatch,6494,,,Oysterdate,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3119_1c93a0d0-6f8b-4235-9136-75d87cc206a4.jpg?v=1786082250,,,"Pre-Owned Rolex Oysterdate 6494. Offered on its own, without box or papers.",FixedPrice,GTC,3636.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3131,31387,,Rolex Air-King 5700 Mens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Men,Wristwatch,5700,,,Air-King,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3131_bda186fa-da70-4523-ab90-66cd8308e69a.jpg?v=1786082258,,,"Pre-Owned Rolex Air-King 5700. Offered on its own, without box or papers.",FixedPrice,GTC,4964.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3180,31387,,Rolex Day-Date 228348RBR Mens Pre-Owned Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,228348RBR,,,Day-Date,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3180_2184db1d-c291-4530-892d-51c985fb070a.jpg?v=1786082272,,,"Pre-Owned Rolex Day-Date 228348RBR from February 2016. Offered with papers, but without the original box.",FixedPrice,GTC,78564.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3194,31387,,Rolex Submariner Date 126610LN Mens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Men,Wristwatch,126610LN,,,Submariner Date,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3194_3a05b784-8661-4f6d-88e9-ca9f362cf028.jpg?v=1786082275,,,"Pre-Owned Rolex Submariner Date 126610LN. Offered on its own, without box or papers.",FixedPrice,GTC,14441.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3200,31387,,Rolex Lady Date Just 6919 Womens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Women,Wristwatch,6919,,,Lady Date Just,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3200.jpg?v=1786082276,,,"Pre-Owned Rolex Lady Date Just 6919. Offered on its own, without box or papers.",FixedPrice,GTC,4074.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3201,31387,,Rolex Oyster Perpetual Lady 6919 Womens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Women,Wristwatch,6919,,,Oyster Perpetual Lady,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3201_0a130aa9-6fb2-4491-944f-0f15c37b0bab.jpg?v=1786082277,,,"Pre-Owned Rolex Oyster Perpetual Lady 6919. Offered on its own, without box or papers.",FixedPrice,GTC,4074.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3221,31387,,Rolex Oyster Precision 6422 Mens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Men,Wristwatch,6422,,,Oyster Precision,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3221_f8d16d31-5e5f-41df-923c-2cf715bd380e.jpg?v=1786082286,,,"Pre-Owned Rolex Oyster Precision 6422. Offered on its own, without box or papers.",FixedPrice,GTC,4284.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3224,31387,,Rolex Oyster Perpetual 6505 Unisex Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Unisex Adults,Wristwatch,6505,,,Oyster Perpetual,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3224.jpg?v=1786082287,,,"Pre-Owned Rolex Oyster Perpetual 6505. Offered on its own, without box or papers.",FixedPrice,GTC,4751.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3234,31387,,Rolex Lady Date Just 6919 Womens Good Watch No Box/Papers,,,,,3000,Rolex,Women,Wristwatch,6919,,,Lady Date Just,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3234_b1dd095f-2551-4e77-a3ad-2e65857dcb93.jpg?v=1786082290,,,"Pre-Owned Rolex Lady Date Just 6919. Offered on its own, without box or papers. Good condition.",FixedPrice,GTC,4074.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
