Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Title,SEO Description
mens-wedding-band-1,Carved Checkerboard Wedding Band in 14K Gold,"<p>The Carved Checkerboard Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A crisp checkerboard motif is carved across the center of this band, each tiny square catching light at a slightly different angle so the surface shifts as the hand moves. Bright polished rails frame the pattern and keep the look tailored rather than busy.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Checkerboard</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved center, polished edges</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,carved wedding band,checkerboard ring,patterned wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Checkerboard Wedding Band | 14K & 18K Gold,"Hand-finished checkerboard wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold. Custom widths available."
mens-wedding-band-1-copy,Carved Block Panel Wedding Band in 14K Gold,"<p>The Carved Block Panel Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Deep-cut rectangular panels run the full circumference of this band, each block set slightly proud of the surface for a strong architectural rhythm. It reads modern and substantial without any stone or shine.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Block Panel</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief panels</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,carved wedding band,geometric wedding band,modern mens ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Block Panel Wedding Band | 14K & 18K Gold,"Architectural block-panel wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold. Custom widths available."
mens-wedding-band-3,Carved Emblem Wedding Band in 14K Gold,"<p>The Carved Emblem Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A single raised emblem sits inside a carved rectangular frame at the center of this band, with the remaining surface left high polished so the motif is the only thing that draws the eye. A quiet way to carry a symbol that matters.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Emblem</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved emblem, polished body</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,carved wedding band,symbol ring,emblem wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Emblem Wedding Band | 14K & 18K Gold,"Symbol wedding band with a carved center emblem in 14K or 18K gold. Made to order in yellow, white, or rose gold. Custom motifs available."
mens-wedding-band-4,Greek Key Wedding Band in 14K Gold,"<p>The Greek Key Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. The Greek key, or meander, has been a symbol of unity and the unbroken line for close to three thousand years. Here it is carved cleanly along the center of the band and bordered by polished edges, so the geometry stays sharp and legible.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Greek Key</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved meander, polished edges</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"greek key wedding band,mens wedding band,meander ring,carved wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Greek Key Wedding Band for Men | 14K & 18K Gold,"Carved Greek key meander wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold. Custom widths available."
mens-wedding-band-5,Hebrew Lettering Wedding Band in 14K Gold,"<p>The Hebrew Lettering Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Hebrew script is carved in relief around this band, raised from a satin ground and framed by polished edges. We cut the lettering to your chosen verse or phrase, so no two rings come out identical.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Hebrew</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief lettering</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"hebrew wedding band,jewish wedding band,mens wedding band,custom wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Hebrew Wedding Band for Men | 14K & 18K Gold,"Custom Hebrew lettering wedding band in 14K or 18K gold. Your verse carved to order in yellow, white, or rose gold."
mens-wedding-band-6,Celtic Trinity Knot Wedding Band in 14K Gold,"<p>The Celtic Trinity Knot Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Interlaced triquetra knots run continuously around this band, the strands passing over and under one another so the pattern never begins or ends. Carved in relief and framed by polished rails.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Celtic Trinity Knot</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved knotwork, polished edges</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,trinity knot ring,mens wedding band,irish wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Celtic Trinity Knot Wedding Band | 14K & 18K Gold,"Carved Celtic trinity knot wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
custom-name-mens-wedding-band,Custom Name Wedding Band in 14K Gold,"<p>The Custom Name Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Your name, or the name of someone you carry with you, cut in raised serif capitals around the band. The letters are carved into the metal rather than engraved on the surface, so the depth holds up to daily wear for decades.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Custom Name</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief lettering</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"custom name wedding band,personalized wedding band,mens wedding band,name ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Custom Name Wedding Band for Men | 14K & 18K Gold,"Personalized name wedding band in 14K or 18K gold. Carved to order in yellow, white, or rose gold. Any name or word."
mens-wedding-band-8,Paw Print Wedding Band in 14K Gold,"<p>The Paw Print Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Paw prints are carved in a scattered, walking line across a satin center panel, framed by polished edges. Understated enough for everyday wear, and unmistakable to anyone who knows why it's there.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Paw Print</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved motif on satin center</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"paw print ring,dog lover ring,mens wedding band,carved wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Paw Print Wedding Band for Men | 14K & 18K Gold,"Carved paw print wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-9,Carved Lattice Wedding Band in 14K Gold,"<p>The Carved Lattice Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. An interlocking lattice of arcs and diamonds is carved across the full width of this band, deep enough to throw real shadow. The wide profile and continuous pattern make it one of the more substantial pieces in the collection.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Lattice</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved lattice</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,carved wedding band,wide wedding band,geometric ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Lattice Wedding Band for Men | 14K & 18K Gold,"Wide carved lattice wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold. Custom widths available."
mens-wedding-band-10,Celtic Braid Wedding Band in 14K Gold,"<p>The Celtic Braid Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A tight three-strand Celtic braid runs the circumference of this band, carved in relief and set into a recessed channel so the polished edges sit slightly proud and protect the pattern from wear.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Celtic Braid</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved braid in recessed channel</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,celtic braid ring,mens wedding band,irish wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Celtic Braid Wedding Band for Men | 14K & 18K Gold,"Carved Celtic braid wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
